id,uid,date,attendance,timeValid,neutralSite,conferenceCompetition,recent,notes,startDate,type.id,type.abbreviation,status.clock,status.displayClock,status.period,status.type.id,status.type.name,status.type.state,status.type.completed,status.type.description,status.type.detail,status.type.shortDetail,home.id,home.uid,home.location,home.name,home.abbreviation,home.displayName,home.shortDisplayName,home.color,home.alternateColor,home.isActive,home.venue.id,home.logo,home.conferenceId,away.id,away.uid,away.location,away.name,away.abbreviation,away.displayName,away.shortDisplayName,away.color,away.isActive,season,away.alternateColor,away.venue.id,away.logo,away.conferenceId,status.type.altDetail,tournamentId,groups.id,groups.name,groups.shortName,groups.isConference,game_id,PBP,team_box,player_box
300930025,s:40~l:54~e:300930025~c:300930025,2010-04-03T18:00Z,0,TRUE,FALSE,FALSE,FALSE,"[{'type': 'event', 'headline': 'WNIT CHAMPIONSHIP'}]",2010-04-03T18:00Z,,"",0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,25,s:40~l:54~t:25,California,Golden Bears,CAL,California Golden Bears,California,031522,ffc423,TRUE,496,https://a.espncdn.com/i/teamlogos/ncaa/500/25.png,21,2390,s:40~l:54~t:2390,Miami,Hurricanes,MIA,Miami Hurricanes,Miami,004325,TRUE,2010,f0f0f0,1985,https://a.espncdn.com/i/teamlogos/ncaa/500/2390.png,2,"",37,,"","",,300930025,TRUE,FALSE,FALSE
300912287,s:40~l:54~e:300912287~c:300912287,2010-04-02T00:05Z,0,TRUE,FALSE,FALSE,FALSE,"[{'type': 'event', 'headline': """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""WOMEN'S NIT - SEMIFINALS""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""}]",2010-04-02T00:05Z,,"",0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2287,s:40~l:54~t:2287,Illinois State,Redbirds,ILST,Illinois State Redbirds,Illinois State,CE1126,ffe716,TRUE,1932,https://a.espncdn.com/i/teamlogos/ncaa/500/2287.png,18,25,s:40~l:54~t:25,California,Golden Bears,CAL,California Golden Bears,California,031522,TRUE,2010,ffc423,496,https://a.espncdn.com/i/teamlogos/ncaa/500/25.png,21,"",37,,"","",,300912287,FALSE,FALSE,FALSE
300900130,s:40~l:54~e:300900130~c:300900130,2010-03-31T23:00Z,0,TRUE,FALSE,FALSE,FALSE,"[{'type': 'event', 'headline': """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""WOMEN'S NIT - SEMIFINALS""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""}]",2010-03-31T23:00Z,,"",0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,130,s:40~l:54~t:130,Michigan,Wolverines,MICH,Michigan Wolverines,Michigan,00274c,00274c,TRUE,1986,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,7,2390,s:40~l:54~t:2390,Miami,Hurricanes,MIA,Miami Hurricanes,Miami,004325,TRUE,2010,f0f0f0,1985,https://a.espncdn.com/i/teamlogos/ncaa/500/2390.png,2,"",37,,"","",,300900130,FALSE,FALSE,FALSE
300872287,s:40~l:54~e:300872287~c:300872287,2010-03-28T19:05Z,0,TRUE,FALSE,FALSE,FALSE,"[{'type': 'event', 'headline': """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""WOMEN'S NIT - QUARTERFINALS""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""}]",2010-03-28T19:05Z,,"",0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2287,s:40~l:54~t:2287,Illinois State,Redbirds,ILST,Illinois State Redbirds,Illinois State,CE1126,ffe716,TRUE,1932,https://a.espncdn.com/i/teamlogos/ncaa/500/2287.png,18,356,s:40~l:54~t:356,Illinois,Fighting Illini,ILL,Illinois Fighting Illini,Illinois,f77329,TRUE,2010,fa6300,2127,https://a.espncdn.com/i/teamlogos/ncaa/500/356.png,7,"",37,,"","",,300872287,FALSE,FALSE,FALSE
300872507,s:40~l:54~e:300872507~c:300872507,2010-03-28T18:00Z,0,TRUE,FALSE,FALSE,FALSE,"[{'type': 'event', 'headline': """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""WOMEN'S NIT - QUARTERFINALS""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""}]",2010-03-28T18:00Z,,"",0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2507,s:40~l:54~t:2507,Providence,Friars,PROV,Providence Friars,Providence,000000,7d8082,TRUE,4691,https://a.espncdn.com/i/teamlogos/ncaa/500/2507.png,4,2390,s:40~l:54~t:2390,Miami,Hurricanes,MIA,Miami Hurricanes,Miami,004325,TRUE,2010,f0f0f0,1985,https://a.espncdn.com/i/teamlogos/ncaa/500/2390.png,2,"",37,,"","",,300872507,FALSE,FALSE,FALSE
300870130,s:40~l:54~e:300870130~c:300870130,2010-03-28T18:00Z,0,TRUE,FALSE,FALSE,FALSE,"[{'type': 'event', 'headline': """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""WOMEN'S NIT - QUARTERFINALS""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""}]",2010-03-28T18:00Z,,"",0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,130,s:40~l:54~t:130,Michigan,Wolverines,MICH,Michigan Wolverines,Michigan,00274c,00274c,TRUE,1986,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,7,183,s:40~l:54~t:183,Syracuse,Orange,SYR,Syracuse Orange,Syracuse,F37321,TRUE,2010,0d1d37,1964,https://a.espncdn.com/i/teamlogos/ncaa/500/183.png,4,"",37,,"","",,300870130,FALSE,FALSE,FALSE
300860025,s:40~l:54~e:300860025~c:300860025,2010-03-28T01:00Z,0,TRUE,FALSE,FALSE,FALSE,"[{'type': 'event', 'headline': """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""WOMEN'S NIT - QUARTERFINALS""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""}]",2010-03-28T01:00Z,,"",0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,25,s:40~l:54~t:25,California,Golden Bears,CAL,California Golden Bears,California,031522,ffc423,TRUE,496,https://a.espncdn.com/i/teamlogos/ncaa/500/25.png,21,252,s:40~l:54~t:252,BYU,Cougars,BYU,BYU Cougars,BYU,001E4C,TRUE,2010,ffffff,2108,https://a.espncdn.com/i/teamlogos/ncaa/500/252.png,44,"",37,,"","",,300860025,FALSE,FALSE,FALSE
300850183,s:40~l:54~e:300850183~c:300850183,2010-03-26T23:00Z,0,TRUE,FALSE,FALSE,FALSE,"[{'type': 'event', 'headline': """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""WOMEN'S NIT - 3rd ROUND""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""}]",2010-03-26T23:00Z,,"",0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,183,s:40~l:54~t:183,Syracuse,Orange,SYR,Syracuse Orange,Syracuse,F37321,0d1d37,TRUE,1964,https://a.espncdn.com/i/teamlogos/ncaa/500/183.png,4,2670,s:40~l:54~t:2670,VCU,Rams,VCU,VCU Rams,VCU,929292,TRUE,2010,edb71d,2051,https://a.espncdn.com/i/teamlogos/ncaa/500/2670.png,10,"",37,,"","",,300850183,FALSE,FALSE,FALSE
300842483,s:40~l:54~e:300842483~c:300842483,2010-03-26T02:00Z,0,TRUE,FALSE,FALSE,FALSE,"[{'type': 'event', 'headline': """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""WOMEN'S NIT - 3rd ROUND""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""}]",2010-03-26T02:00Z,,"",0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2483,s:40~l:54~t:2483,Oregon,Ducks,ORE,Oregon Ducks,Oregon,044520,fee123,TRUE,1977,https://a.espncdn.com/i/teamlogos/ncaa/500/2483.png,21,25,s:40~l:54~t:25,California,Golden Bears,CAL,California Golden Bears,California,031522,TRUE,2010,ffc423,496,https://a.espncdn.com/i/teamlogos/ncaa/500/25.png,21,"",37,,"","",,300842483,FALSE,FALSE,FALSE
300842751,s:40~l:54~e:300842751~c:300842751,2010-03-26T01:00Z,0,TRUE,FALSE,FALSE,FALSE,"[{'type': 'event', 'headline': """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""WOMEN'S NIT - 3rd ROUND""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""}]",2010-03-26T01:00Z,,"",0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2751,s:40~l:54~t:2751,Wyoming,Cowgirls,WYO,Wyoming Cowgirls,Wyoming,533B22,ffffff,TRUE,2053,https://a.espncdn.com/i/teamlogos/ncaa/500/2751.png,44,252,s:40~l:54~t:252,BYU,Cougars,BYU,BYU Cougars,BYU,001E4C,TRUE,2010,ffffff,2108,https://a.espncdn.com/i/teamlogos/ncaa/500/252.png,44,"",37,,"","",,300842751,FALSE,FALSE,FALSE
