id,uid,date,attendance,timeValid,neutralSite,conferenceCompetition,recent,notes,startDate,type.id,type.abbreviation,venue.id,venue.fullName,venue.address.city,venue.address.state,venue.capacity,venue.indoor,status.clock,status.displayClock,status.period,status.type.id,status.type.name,status.type.state,status.type.completed,status.type.description,status.type.detail,status.type.shortDetail,format.regulation.periods,home.id,home.uid,home.location,home.name,home.abbreviation,home.displayName,home.shortDisplayName,home.color,home.isActive,home.logo,away.id,away.uid,away.location,away.name,away.abbreviation,away.displayName,away.shortDisplayName,away.color,away.alternateColor,away.isActive,away.venue.id,away.logo,away.conferenceId,game_id,season,season_type,home.alternateColor,home.venue.id,home.conferenceId,status.type.altDetail,groups.id,groups.name,groups.shortName,groups.isConference,tournamentId,PBP,team_box,player_box
401091039,s:40~l:54~e:401091039~c:401091039,2018-11-29T01:00Z,872,TRUE,FALSE,FALSE,FALSE,[],2018-11-29T01:00Z,0,N/A,415,Klotsche Center,Milwaukee,WI,3500,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,270,s:40~l:54~t:270,Milwaukee,Panthers,MILW,Milwaukee Panthers,Milwaukee,000000,TRUE,https://a.espncdn.com/i/teamlogos/ncaa/500/270.png,269,s:40~l:54~t:269,Marquette,Golden Eagles,MARQ,Marquette Golden Eagles,Marquette,083963,ffffff,TRUE,906,https://a.espncdn.com/i/teamlogos/ncaa/500/269.png,4,401091039,2019,2,ffc20e,415,45,"",,,,,,TRUE,TRUE,TRUE
401092617,s:40~l:54~e:401092617~c:401092617,2018-11-29T01:00Z,2364,TRUE,FALSE,FALSE,FALSE,[],2018-11-29T01:00Z,0,N/A,1905,DakotaDome,Vermillion,SD,10000,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,233,s:40~l:54~t:233,South Dakota,Coyotes,SDAK,South Dakota Coyotes,South Dakota,CD1241,TRUE,https://a.espncdn.com/i/teamlogos/ncaa/500/233.png,66,s:40~l:54~t:66,Iowa State,Cyclones,ISU,Iowa State Cyclones,Iowa State,660015,830b2c,TRUE,432,https://a.espncdn.com/i/teamlogos/ncaa/500/66.png,8,401092617,2019,2,f0f0f0,5432,47,"",,,,,,TRUE,TRUE,TRUE
401091466,s:40~l:54~e:401091466~c:401091466,2018-11-29T00:30Z,2261,TRUE,FALSE,FALSE,FALSE,[],2018-11-29T00:30Z,0,N/A,2180,Jack Stephens Center,Little Rock,AR,5600,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,2031,s:40~l:54~t:2031,Little Rock,Trojans,UALR,Little Rock Trojans,Little Rock,AD0000,TRUE,https://a.espncdn.com/i/teamlogos/ncaa/500/2031.png,344,s:40~l:54~t:344,Mississippi State,Bulldogs,MSST,Mississippi State Bulldogs,Mississippi St,762123,c8c8c8,TRUE,2095,https://a.espncdn.com/i/teamlogos/ncaa/500/344.png,23,401091466,2019,2,898d8f,2180,27,"",,,,,,TRUE,TRUE,TRUE
401090490,s:40~l:54~e:401090490~c:401090490,2018-11-29T00:00Z,7186,TRUE,FALSE,FALSE,FALSE,[],2018-11-29T00:00Z,0,N/A,1956,Gampel Pavilion,Storrs,CT,10167,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,41,s:40~l:54~t:41,UConn,Huskies,CONN,UConn Huskies,UConn,001d40,TRUE,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,305,s:40~l:54~t:305,DePaul,Blue Demons,DEP,DePaul Blue Demons,DePaul,2d649c,ce1125,TRUE,1997,https://a.espncdn.com/i/teamlogos/ncaa/500/305.png,4,401090490,2019,2,f1f2f3,1956,62,"",,,,,,TRUE,TRUE,TRUE
401090754,s:40~l:54~e:401090754~c:401090754,2018-11-29T00:00Z,10423,TRUE,FALSE,FALSE,FALSE,[],2018-11-29T00:00Z,0,N/A,1962,Colonial Life Arena,Columbia,SC,18000,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,2579,s:40~l:54~t:2579,South Carolina,Gamecocks,SC,South Carolina Gamecocks,South Carolina,670010,TRUE,https://a.espncdn.com/i/teamlogos/ncaa/500/2579.png,2168,s:40~l:54~t:2168,Dayton,Flyers,DAY,Dayton Flyers,Dayton,004B8D,ffffff,TRUE,2039,https://a.espncdn.com/i/teamlogos/ncaa/500/2168.png,3,401090754,2019,2,000000,1962,23,"",,,,,,TRUE,TRUE,TRUE
401100198,s:40~l:54~e:401100198~c:401100198,2018-11-29T00:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2018-11-29T00:00Z,0,N/A,2231,Island FCU Arena,Stony Brook,NY,4000,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,2619,s:40~l:54~t:2619,Stony Brook,Seawolves,STBK,Stony Brook Seawolves,Stony Brook,990000,TRUE,https://a.espncdn.com/i/teamlogos/ncaa/500/2619.png,111998,s:40~l:54~t:111998,SUNY-New Paltz,Hawks,SNP,SUNY-New Paltz Hawks,SUNY-New Paltz,"","",FALSE,,"",,401100198,2019,2,"",2231,1,"",,,,,,FALSE,FALSE,FALSE
401095818,s:40~l:54~e:401095818~c:401095818,2018-11-29T00:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2018-11-29T00:00Z,0,N/A,1994,Swisher Gymnasium,Jacksonville,FL,1452,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,294,s:40~l:54~t:294,Jacksonville,Dolphins,JAC,Jacksonville Dolphins,Jacksonville,00523e,TRUE,https://a.espncdn.com/i/teamlogos/ncaa/500/294.png,2065,s:40~l:54~t:2065,Bethune-Cookman,Lady Wildcats,BCU,Bethune-Cookman Lady Wildcats,Bethune-Cookman,7b1831,e9aa12,TRUE,2073,https://a.espncdn.com/i/teamlogos/ncaa/500/2065.png,16,401095818,2019,2,"",1994,46,"",,,,,,FALSE,FALSE,FALSE
401095474,s:40~l:54~e:401095474~c:401095474,2018-11-29T00:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2018-11-29T00:00Z,1,STD,2015,KSU Convocation Center,Kennesaw,GA,4800,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,338,s:40~l:54~t:338,Kennesaw State,Owls,KENN,Kennesaw State Owls,Kennesaw State,000000,TRUE,https://a.espncdn.com/i/teamlogos/ncaa/500/338.png,290,s:40~l:54~t:290,Georgia Southern,Eagles,GASO,Georgia Southern Eagles,Georgia So,003775,f0f0f0,TRUE,2089,https://a.espncdn.com/i/teamlogos/ncaa/500/290.png,27,401095474,2019,2,fdbb30,2015,46,"",,,,,,FALSE,FALSE,FALSE
401094404,s:40~l:54~e:401094404~c:401094404,2018-11-29T00:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2018-11-29T00:00Z,0,N/A,2014,Clune Arena,Colorado Springs,CO,5843,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,2005,s:40~l:54~t:2005,Air Force,Falcons,AFA,Air Force Falcons,Air Force,004a7b,TRUE,https://a.espncdn.com/i/teamlogos/ncaa/500/2005.png,2458,s:40~l:54~t:2458,Northern Colorado,Bears,UNCO,Northern Colorado Bears,N Colorado,13558D,ffc533,TRUE,2168,https://a.espncdn.com/i/teamlogos/ncaa/500/2458.png,5,401094404,2019,2,ffffff,2014,44,"",,,,,,FALSE,FALSE,FALSE
401094095,s:40~l:54~e:401094095~c:401094095,2018-11-29T00:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2018-11-29T00:00Z,0,N/A,1972,University Arena (MI),Kalamazoo,MI,5421,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,2711,s:40~l:54~t:2711,Western Michigan,Broncos,WMU,Western Michigan Broncos,W Michigan,532e1f,TRUE,https://a.espncdn.com/i/teamlogos/ncaa/500/2711.png,2198,s:40~l:54~t:2198,Eastern Kentucky,Colonels,EKY,Eastern Kentucky Colonels,E Kentucky,660819,f0f0f0,TRUE,1915,https://a.espncdn.com/i/teamlogos/ncaa/500/2198.png,20,401094095,2019,2,8b7f79,1972,14,"",,,,,,FALSE,FALSE,FALSE
401093730,s:40~l:54~e:401093730~c:401093730,2018-11-29T00:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2018-11-29T00:00Z,0,N/A,5725,Schar Center,Elon,NC,5100,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,2210,s:40~l:54~t:2210,Elon,Phoenix,ELON,Elon Phoenix,Elon,020303,TRUE,https://a.espncdn.com/i/teamlogos/ncaa/500/2210.png,2804,s:40~l:54~t:2804,Chowan,Hawks,CHO,Chowan Hawks,Chowan,000000,"",FALSE,,https://a.espncdn.com/i/teamlogos/ncaa/500/2804.png,,401093730,2019,2,b59a57,5725,10,"",,,,,,FALSE,FALSE,FALSE
401093424,s:40~l:54~e:401093424~c:401093424,2018-11-29T00:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2018-11-29T00:00Z,0,N/A,2118,Patrick Gymnasium,Burlington,VT,3266,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,261,s:40~l:54~t:261,Vermont,Catamounts,UVM,Vermont Catamounts,Vermont,013C24,TRUE,https://a.espncdn.com/i/teamlogos/ncaa/500/261.png,107,s:40~l:54~t:107,Holy Cross,Crusaders,HC,Holy Cross Crusaders,Holy Cross,0a0a0a,080808,TRUE,137,https://a.espncdn.com/i/teamlogos/ncaa/500/107.png,22,401093424,2019,2,ffc72c,2118,1,"",,,,,,FALSE,FALSE,FALSE
401093423,s:40~l:54~e:401093423~c:401093423,2018-11-29T00:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2018-11-29T00:00Z,0,N/A,1999,Case Gym,Boston,MA,1800,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,104,s:40~l:54~t:104,Boston University,Terriers,BU,Boston University Terriers,Boston Univ,cc0000,TRUE,https://a.espncdn.com/i/teamlogos/ncaa/500/104.png,160,s:40~l:54~t:160,New Hampshire,Wildcats,UNH,New Hampshire Wildcats,New Hampshire,004990,c3c4c6,TRUE,1936,https://a.espncdn.com/i/teamlogos/ncaa/500/160.png,1,401093423,2019,2,ffffff,1999,22,"",,,,,,FALSE,FALSE,FALSE
401093422,s:40~l:54~e:401093422~c:401093422,2018-11-29T00:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2018-11-29T00:00Z,1,STD,1910,Bender Arena,Washington,DC,3400,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,44,s:40~l:54~t:44,American University,Eagles,AMER,American University Eagles,American,c41130,TRUE,https://a.espncdn.com/i/teamlogos/ncaa/500/44.png,2378,s:40~l:54~t:2378,UMBC,Retrievers,UMBC,UMBC Retrievers,UMBC,000000,ad860a,TRUE,6008,https://a.espncdn.com/i/teamlogos/ncaa/500/2378.png,1,401093422,2019,2,c8102e,1910,22,"",,,,,,FALSE,FALSE,FALSE
401093214,s:40~l:54~e:401093214~c:401093214,2018-11-29T00:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2018-11-29T00:00Z,0,N/A,1944,Alumni Gymnasium (Rider),Lawrenceville,NJ,1650,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,2520,s:40~l:54~t:2520,Rider,Broncs,RID,Rider Broncs,Rider,a80532,TRUE,https://a.espncdn.com/i/teamlogos/ncaa/500/2520.png,2885,s:40~l:54~t:2885,NJIT,Highlanders,NJIT,NJIT Highlanders,NJIT,EE3024,df3e2e,TRUE,5420,https://a.espncdn.com/i/teamlogos/ncaa/500/2885.png,46,401093214,2019,2,ebebeb,1944,13,"",,,,,,FALSE,FALSE,FALSE
401093213,s:40~l:54~e:401093213~c:401093213,2018-11-29T00:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2018-11-29T00:00Z,0,N/A,1976,SEFCU Arena,Albany,NY,4280,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,399,s:40~l:54~t:399,Albany,Great Danes,ALB,Albany Great Danes,Albany,3D2777,TRUE,https://a.espncdn.com/i/teamlogos/ncaa/500/399.png,2099,s:40~l:54~t:2099,Canisius,Golden Griffins,CAN,Canisius Golden Griffins,Canisius,004a81,dda50f,TRUE,2037,https://a.espncdn.com/i/teamlogos/ncaa/500/2099.png,13,401093213,2019,2,ffffff,1976,1,"",,,,,,FALSE,FALSE,FALSE
401092392,s:40~l:54~e:401092392~c:401092392,2018-11-29T00:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2018-11-29T00:00Z,0,N/A,1971,E. A. Diddle Arena,Bowling Green,KY,7523,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,98,s:40~l:54~t:98,Western Kentucky,Lady Toppers,WKU,Western Kentucky Lady Toppers,Western KY,F32026,TRUE,https://a.espncdn.com/i/teamlogos/ncaa/500/98.png,2415,s:40~l:54~t:2415,Morgan State,Lady Bears,MORG,Morgan State Lady Bears,Morgan State,014786,f47937,TRUE,2021,https://a.espncdn.com/i/teamlogos/ncaa/500/2415.png,16,401092392,2019,2,b3b5b8,1971,11,"",,,,,,FALSE,FALSE,FALSE
401092390,s:40~l:54~e:401092390~c:401092390,2018-11-29T00:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2018-11-29T00:00Z,0,N/A,2155,Bartow Arena,Birmingham,AL,8500,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,5,s:40~l:54~t:5,UAB,Blazers,UAB,UAB Blazers,UAB,054338,TRUE,https://a.espncdn.com/i/teamlogos/ncaa/500/5.png,2010,s:40~l:54~t:2010,Alabama A&M,Bulldogs,AAMU,Alabama A&M Bulldogs,Alabama A&M,790000,ffffff,TRUE,2122,https://a.espncdn.com/i/teamlogos/ncaa/500/2010.png,26,401092390,2019,2,ffc845,2155,11,"",,,,,,FALSE,FALSE,FALSE
