id,uid,date,attendance,timeValid,neutralSite,conferenceCompetition,recent,notes,startDate,type.id,type.abbreviation,venue.id,venue.fullName,venue.address.city,venue.address.state,venue.capacity,venue.indoor,status.clock,status.displayClock,status.period,status.type.id,status.type.name,status.type.state,status.type.completed,status.type.description,status.type.detail,status.type.shortDetail,home.id,home.uid,home.location,home.name,home.abbreviation,home.displayName,home.shortDisplayName,home.color,home.alternateColor,home.isActive,home.venue.id,home.logo,home.conferenceId,away.id,away.uid,away.location,away.name,away.abbreviation,away.displayName,away.shortDisplayName,away.color,away.alternateColor,away.isActive,away.venue.id,away.logo,away.conferenceId,status.type.altDetail,season,groups.id,groups.name,groups.shortName,groups.isConference,tournamentId,game_id,PBP,team_box,player_box
401211868,s:40~l:54~e:401211868~c:401211868,2020-03-15T23:00Z,0,TRUE,TRUE,TRUE,FALSE,"[{'type': 'event', 'headline': 'SUN BELT CHAMPIONSHIP - FINAL CANCELED DUE TO CORONAVIRUS CONCERNS'}]",2020-03-15T23:00Z,0,N/A,985,Smoothie King Center,New Orleans,LA,16867,TRUE,0,0:00,0,5,STATUS_CANCELED,post,FALSE,Canceled,Canceled,Canceled,-1,s:40~l:54~t:-1,TBD,TBD,TBD,TBD,TBD,"","",FALSE,,"",,-2,s:40~l:54~t:-2,TBD,TBD,TBD,TBD,TBD,"","",FALSE,,"",,"",2020,,"","",,,401211868,FALSE,FALSE,FALSE
401211505,s:40~l:54~e:401211505~c:401211505,2020-03-15T20:00Z,0,TRUE,TRUE,TRUE,FALSE,"[{'type': 'event', 'headline': 'PHILLIPS 66 BIG 12 CHAMPIONSHIP - FINAL CANCELED DUE TO CORONAVIRUS CONCERNS'}]",2020-03-15T20:00Z,0,N/A,2181,Municipal Auditorium (MO),Kansas City,MO,10116,TRUE,0,0:00,0,5,STATUS_CANCELED,post,FALSE,Canceled,Canceled,Canceled,-1,s:40~l:54~t:-1,TBD,TBD,TBD,TBD,TBD,"","",FALSE,,"",,-2,s:40~l:54~t:-2,TBD,TBD,TBD,TBD,TBD,"","",FALSE,,"",,"",2020,,"","",,,401211505,FALSE,FALSE,FALSE
401211971,s:40~l:54~e:401211971~c:401211971,2020-03-15T19:00Z,0,TRUE,TRUE,TRUE,FALSE,"[{'type': 'event', 'headline': 'MVC TOURNAMENT - FINAL CANCELED DUE TO CORONAVIRUS CONCERNS'}]",2020-03-15T19:00Z,0,N/A,5075,TaxSlayer Center,Moline,IL,0,TRUE,0,0:00,0,5,STATUS_CANCELED,post,FALSE,Canceled,Canceled,Canceled,-1,s:40~l:54~t:-1,TBD,TBD,TBD,TBD,TBD,"","",FALSE,,"",,-2,s:40~l:54~t:-2,TBD,TBD,TBD,TBD,TBD,"","",FALSE,,"",,"",2020,,"","",,,401211971,FALSE,FALSE,FALSE
401211496,s:40~l:54~e:401211496~c:401211496,2020-03-15T19:00Z,0,TRUE,FALSE,TRUE,FALSE,"[{'type': 'event', 'headline': 'ASUN CHAMPIONSHIP - FINAL CANCELED DUE TO CORONAVIRUS CONCERNS'}]",2020-03-15T19:00Z,0,N/A,2101,Alico Arena,Fort Myers,FL,4633,TRUE,0,0:00,0,5,STATUS_CANCELED,post,FALSE,Canceled,Canceled,Canceled,526,s:40~l:54~t:526,Florida Gulf Coast,Eagles,FGCU,Florida Gulf Coast Eagles,FGCU,00885a,076c3b,TRUE,2101,https://a.espncdn.com/i/teamlogos/ncaa/500/526.png,46,2335,s:40~l:54~t:2335,Liberty,Flames,LIB,Liberty Flames,Liberty,071740,a61f21,TRUE,7117,https://a.espncdn.com/i/teamlogos/ncaa/500/2335.png,46,"",2020,46,ASUN Conference,ASUN,TRUE,,401211496,FALSE,FALSE,FALSE
401211988,s:40~l:54~e:401211988~c:401211988,2020-03-15T18:00Z,0,TRUE,FALSE,TRUE,FALSE,"[{'type': 'event', 'headline': 'NORTHEAST CONFERENCE TOURNAMENT - FINAL CANCELED DUE TO CORONAVIRUS CONCERNS'}]",2020-03-15T18:00Z,0,N/A,,"","","",,,0,0:00,0,5,STATUS_CANCELED,post,FALSE,Canceled,Canceled,Canceled,-1,s:40~l:54~t:-1,TBD,TBD,TBD,TBD,TBD,"","",FALSE,,"",,-2,s:40~l:54~t:-2,TBD,TBD,TBD,TBD,TBD,"","",FALSE,,"",,"",2020,,"","",,,401211988,FALSE,FALSE,FALSE
401211882,s:40~l:54~e:401211882~c:401211882,2020-03-15T18:00Z,0,TRUE,TRUE,TRUE,FALSE,"[{'type': 'event', 'headline': 'SOUTHLAND TOURNAMENT - FINAL CANCELED DUE TO CORONAVIRUS CONCERNS'}]",2020-03-15T18:00Z,0,N/A,3479,Leonard E. Merrell Center,Katy,TX,5794,TRUE,0,0:00,0,5,STATUS_CANCELED,post,FALSE,Canceled,Canceled,Canceled,-1,s:40~l:54~t:-1,TBD,TBD,TBD,TBD,TBD,"","",FALSE,,"",,-2,s:40~l:54~t:-2,TBD,TBD,TBD,TBD,TBD,"","",FALSE,,"",,"",2020,,"","",,,401211882,FALSE,FALSE,FALSE
401211534,s:40~l:54~e:401211534~c:401211534,2020-03-15T18:00Z,0,TRUE,FALSE,TRUE,FALSE,"[{'type': 'event', 'headline': 'BIG SOUTH CHAMPIONSHIP - FINAL CANCELED DUE TO CORONAVIRUS CONCERNS'}]",2020-03-15T18:00Z,0,N/A,,"","","",,,0,0:00,0,5,STATUS_CANCELED,post,FALSE,Canceled,Canceled,Canceled,-1,s:40~l:54~t:-1,TBD,TBD,TBD,TBD,TBD,"","",FALSE,,"",,-2,s:40~l:54~t:-2,TBD,TBD,TBD,TBD,TBD,"","",FALSE,,"",,"",2020,,"","",,,401211534,FALSE,FALSE,FALSE
401213244,s:40~l:54~e:401213244~c:401213244,2020-03-15T16:00Z,0,TRUE,FALSE,TRUE,FALSE,"[{'type': 'event', 'headline': 'PATRIOT LEAGUE TOURNAMENT - FINAL CANCELED DUE TO CORONAVIRUS CONCERNS'}]",2020-03-15T16:00Z,0,N/A,,"","","",,,0,0:00,0,5,STATUS_CANCELED,post,FALSE,Canceled,Canceled,Canceled,-1,s:40~l:54~t:-1,TBD,TBD,TBD,TBD,TBD,"","",FALSE,,"",,-2,s:40~l:54~t:-2,TBD,TBD,TBD,TBD,TBD,"","",FALSE,,"",,"",2020,,"","",,,401213244,FALSE,FALSE,FALSE
401211867,s:40~l:54~e:401211867~c:401211867,2020-03-15T00:30Z,0,TRUE,TRUE,TRUE,FALSE,"[{'type': 'event', 'headline': 'SUN BELT CHAMPIONSHIP - SEMIFINAL CANCELED DUE TO CORONAVIRUS CONCERNS'}]",2020-03-15T00:30Z,0,N/A,985,Smoothie King Center,New Orleans,LA,16867,TRUE,0,0:00,0,5,STATUS_CANCELED,post,FALSE,Canceled,Canceled,Canceled,324,s:40~l:54~t:324,Coastal Carolina,Chanticleers,CCAR,Coastal Carolina Chanticleers,C. Carolina,007073,876447,TRUE,4308,https://a.espncdn.com/i/teamlogos/ncaa/500/324.png,27,6,s:40~l:54~t:6,South Alabama,Jaguars,USA,South Alabama Jaguars,South Alabama,003E7E,"",TRUE,2193,https://a.espncdn.com/i/teamlogos/ncaa/500/6.png,27,"",2020,27,Sun Belt Conference,Sun Belt,TRUE,,401211867,FALSE,FALSE,FALSE
401211866,s:40~l:54~e:401211866~c:401211866,2020-03-14T22:00Z,0,TRUE,TRUE,TRUE,FALSE,"[{'type': 'event', 'headline': 'SUN BELT CHAMPIONSHIP - SEMIFINAL CANCELED DUE TO CORONAVIRUS CONCERNS'}]",2020-03-14T22:00Z,0,N/A,985,Smoothie King Center,New Orleans,LA,16867,TRUE,0,0:00,0,5,STATUS_CANCELED,post,FALSE,Canceled,Canceled,Canceled,2653,s:40~l:54~t:2653,Troy,Trojans,TROY,Troy Trojans,Troy,AE0210,88898c,TRUE,4489,https://a.espncdn.com/i/teamlogos/ncaa/500/2653.png,27,309,s:40~l:54~t:309,Louisiana,Ragin' Cajuns,ULL,Louisiana Ragin' Cajuns,Louisiana,ce2842,"",TRUE,373,https://a.espncdn.com/i/teamlogos/ncaa/500/309.png,27,"",2020,27,Sun Belt Conference,Sun Belt,TRUE,,401211866,FALSE,FALSE,FALSE
