id,uid,date,attendance,timeValid,neutralSite,conferenceCompetition,recent,notes,startDate,type.id,type.abbreviation,venue.id,venue.fullName,venue.address.city,venue.address.state,venue.capacity,venue.indoor,status.clock,status.displayClock,status.period,status.type.id,status.type.name,status.type.state,status.type.completed,status.type.description,status.type.detail,status.type.shortDetail,home.id,home.uid,home.location,home.name,home.abbreviation,home.displayName,home.shortDisplayName,home.color,home.alternateColor,home.isActive,home.venue.id,home.logo,home.conferenceId,away.id,away.uid,away.location,away.name,away.abbreviation,away.displayName,away.shortDisplayName,away.color,away.isActive,away.logo,away.alternateColor,away.venue.id,away.conferenceId,season,groups.id,groups.name,groups.shortName,groups.isConference,game_id,PBP,player_box
401368215,s:40~l:54~e:401368215~c:401368215,2022-03-06T00:30Z,0,TRUE,FALSE,TRUE,FALSE,[],2022-03-06T00:30Z,1,STD,2124,Renaissance Coliseum,Peoria,IL,4200,TRUE,0,0:00,0,1,STATUS_SCHEDULED,pre,FALSE,Scheduled,"Sat, March 5th at 7:30 PM EST",3/5 - 7:30 PM EST,71,s:40~l:54~t:71,Bradley,Braves,BRAD,Bradley Braves,Bradley,b70002,c0c0c0,TRUE,2124,https://a.espncdn.com/i/teamlogos/ncaa/500/71.png,18,2287,s:40~l:54~t:2287,Illinois State,Redbirds,ILST,Illinois State Redbirds,Illinois State,CE1126,TRUE,https://a.espncdn.com/i/teamlogos/ncaa/500/2287.png,ffe716,1932,18,2022,18,Missouri Valley Conference,MVC,TRUE,401368215,FALSE,FALSE
401376387,s:40~l:54~e:401376387~c:401376387,2022-03-06T00:00Z,0,TRUE,FALSE,TRUE,FALSE,[],2022-03-06T00:00Z,1,STD,2004,Edward Leede Arena,Hanover,NH,2100,TRUE,0,0:00,0,1,STATUS_SCHEDULED,pre,FALSE,Scheduled,"Sat, March 5th at 7:00 PM EST",3/5 - 7:00 PM EST,159,s:40~l:54~t:159,Dartmouth,Big Green,DART,Dartmouth Big Green,Dartmouth,005730,000000,TRUE,2004,https://a.espncdn.com/i/teamlogos/ncaa/500/159.png,12,108,s:40~l:54~t:108,Harvard,Crimson,HARV,Harvard Crimson,Harvard,990000,TRUE,https://a.espncdn.com/i/teamlogos/ncaa/500/108.png,dbdbdb,2209,12,2022,12,Ivy League,Ivy,TRUE,401376387,FALSE,FALSE
401375177,s:40~l:54~e:401375177~c:401375177,2022-03-06T00:00Z,0,TRUE,FALSE,TRUE,FALSE,[],2022-03-06T00:00Z,0,N/A,1934,McCann Arena,Poughkeepsie,NY,3200,TRUE,0,0:00,0,1,STATUS_SCHEDULED,pre,FALSE,Scheduled,"Sat, March 5th at 7:00 PM EST",3/5 - 7:00 PM EST,2368,s:40~l:54~t:2368,Marist,Red Foxes,MRST,Marist Red Foxes,Marist,e53730,f0f0f0,TRUE,1934,https://a.espncdn.com/i/teamlogos/ncaa/500/2368.png,13,2363,s:40~l:54~t:2363,Manhattan,Jaspers,MAN,Manhattan Jaspers,Manhattan,4f8537,TRUE,https://a.espncdn.com/i/teamlogos/ncaa/500/2363.png,b5b7ba,2062,13,2022,13,Metro Atlantic Athletic Conference,MAAC,TRUE,401375177,FALSE,FALSE
401374992,s:40~l:54~e:401374992~c:401374992,2022-03-06T00:00Z,0,TRUE,FALSE,TRUE,FALSE,[],2022-03-06T00:00Z,1,STD,6853,RIMAC Arena,San Diego,CA,4000,TRUE,0,0:00,0,1,STATUS_SCHEDULED,pre,FALSE,Scheduled,"Sat, March 5th at 7:00 PM EST",3/5 - 7:00 PM EST,28,s:40~l:54~t:28,UC San Diego,Tritons,UCSD,UC San Diego Tritons,UC San Diego,000000,"",TRUE,,https://a.espncdn.com/i/teamlogos/ncaa/500/28.png,9,13,s:40~l:54~t:13,Cal Poly,Mustangs,CP,Cal Poly Mustangs,Cal Poly,1E4D2B,TRUE,https://a.espncdn.com/i/teamlogos/ncaa/500/13.png,eed897,812,9,2022,9,Big West Conference,Big West,TRUE,401374992,FALSE,FALSE
401379440,s:40~l:54~e:401379440~c:401379440,2022-03-05T23:30Z,0,TRUE,FALSE,TRUE,FALSE,[],2022-03-05T23:30Z,0,N/A,2165,H&PE Arena,Houston,TX,8100,TRUE,0,0:00,0,1,STATUS_SCHEDULED,pre,FALSE,Scheduled,"Sat, March 5th at 6:30 PM EST",3/5 - 6:30 PM EST,2640,s:40~l:54~t:2640,Texas Southern,Tigers,TXSO,Texas Southern Tigers,Texas Southern,6A0403,ebebeb,TRUE,2165,https://a.espncdn.com/i/teamlogos/ncaa/500/2640.png,26,2504,s:40~l:54~t:2504,Prairie View A&M,Lady Panthers,PV,Prairie View A&M Lady Panthers,Prairie View,4d0960,TRUE,https://a.espncdn.com/i/teamlogos/ncaa/500/2504.png,"",2027,26,2022,26,Southwestern Athletic Conference,SWAC,TRUE,401379440,FALSE,FALSE
401375818,s:40~l:54~e:401375818~c:401375818,2022-03-05T22:00Z,0,TRUE,FALSE,TRUE,FALSE,[],2022-03-05T22:00Z,0,N/A,7095,Burns Arena,St. George,UT,4779,TRUE,0,0:00,0,1,STATUS_SCHEDULED,pre,FALSE,Scheduled,"Sat, March 5th at 5:00 PM EST",3/5 - 5:00 PM EST,3101,s:40~l:54~t:3101,Dixie State,Trailblazers,DXST,Dixie State Trailblazers,Dixie State,000000,"",TRUE,,https://a.espncdn.com/i/teamlogos/ncaa/500/3101.png,30,2253,s:40~l:54~t:2253,Grand Canyon,Antelopes,GCU,Grand Canyon Antelopes,Grand Canyon,522398,TRUE,https://a.espncdn.com/i/teamlogos/ncaa/500/2253.png,f0f0f0,4534,30,2022,30,Western Athletic Conference,WAC,TRUE,401375818,FALSE,FALSE
401374991,s:40~l:54~e:401374991~c:401374991,2022-03-05T22:00Z,0,TRUE,FALSE,TRUE,FALSE,[],2022-03-05T22:00Z,1,STD,2212,The Pavilion (UC Davis),Davis,CA,5931,TRUE,0,0:00,0,1,STATUS_SCHEDULED,pre,FALSE,Scheduled,"Sat, March 5th at 5:00 PM EST",3/5 - 5:00 PM EST,302,s:40~l:54~t:302,UC Davis,Aggies,UCD,UC Davis Aggies,UC Davis,002855,c3c4c6,TRUE,2212,https://a.espncdn.com/i/teamlogos/ncaa/500/302.png,9,2239,s:40~l:54~t:2239,CSU Fullerton,Titans,CSUF,CSU Fullerton Titans,CSU Fullerton,003767,TRUE,https://a.espncdn.com/i/teamlogos/ncaa/500/2239.png,ff8300,2003,9,2022,9,Big West Conference,Big West,TRUE,401374991,FALSE,FALSE
401374990,s:40~l:54~e:401374990~c:401374990,2022-03-05T22:00Z,0,TRUE,FALSE,TRUE,FALSE,[],2022-03-05T22:00Z,0,N/A,469,Bren Events Center,Irvine,CA,5000,TRUE,0,0:00,0,1,STATUS_SCHEDULED,pre,FALSE,Scheduled,"Sat, March 5th at 5:00 PM EST",3/5 - 5:00 PM EST,300,s:40~l:54~t:300,UC Irvine,Anteaters,UCI,UC Irvine Anteaters,UC Irvine,002B5C,fec52e,TRUE,469,https://a.espncdn.com/i/teamlogos/ncaa/500/300.png,9,2934,s:40~l:54~t:2934,CSU Bakersfield,Roadrunners,CSUB,CSU Bakersfield Roadrunners,CSU Bakersfield,003BAB,TRUE,https://a.espncdn.com/i/teamlogos/ncaa/500/2934.png,"",2112,9,2022,9,Big West Conference,Big West,TRUE,401374990,FALSE,FALSE
401378040,s:40~l:54~e:401378040~c:401378040,2022-03-05T21:00Z,0,TRUE,FALSE,TRUE,FALSE,[],2022-03-05T21:00Z,0,N/A,1938,UNT Coliseum,Denton,TX,10500,TRUE,0,0:00,0,1,STATUS_SCHEDULED,pre,FALSE,Scheduled,"Sat, March 5th at 4:00 PM EST",3/5 - 4:00 PM EST,249,s:40~l:54~t:249,North Texas,Mean Green,UNT,North Texas Mean Green,North Texas,00853D,000000,TRUE,1938,https://a.espncdn.com/i/teamlogos/ncaa/500/249.png,11,2638,s:40~l:54~t:2638,UTEP,Miners,UTEP,UTEP Miners,UTEP,ff8200,TRUE,https://a.espncdn.com/i/teamlogos/ncaa/500/2638.png,041e42,2117,11,2022,11,Conference USA,C-USA,TRUE,401378040,FALSE,FALSE
401375817,s:40~l:54~e:401375817~c:401375817,2022-03-05T21:00Z,0,TRUE,FALSE,TRUE,FALSE,[],2022-03-05T21:00Z,1,STD,5994,CBU Events Center,Riverside,CA,5050,TRUE,0,0:00,0,1,STATUS_SCHEDULED,pre,FALSE,Scheduled,"Sat, March 5th at 4:00 PM EST",3/5 - 4:00 PM EST,2856,s:40~l:54~t:2856,California Baptist,Lancers,CBU,California Baptist Lancers,CA Baptist,000000,"",TRUE,,https://a.espncdn.com/i/teamlogos/ncaa/500/2856.png,30,2320,s:40~l:54~t:2320,Lamar,Cardinals,LAM,Lamar Cardinals,Lamar,000000,TRUE,https://a.espncdn.com/i/teamlogos/ncaa/500/2320.png,ebebeb,1896,30,2022,30,Western Athletic Conference,WAC,TRUE,401375817,FALSE,FALSE
