"id","uid","date","attendance","timeValid","neutralSite","conferenceCompetition","recent","notes","startDate","type.id","type.abbreviation","status.clock","status.displayClock","status.period","status.type.id","status.type.name","status.type.state","status.type.completed","status.type.description","status.type.detail","status.type.shortDetail","home.id","home.uid","home.location","home.name","home.abbreviation","home.displayName","home.shortDisplayName","home.color","home.alternateColor","home.isActive","home.venue.id","home.logo","home.conferenceId","away.id","away.uid","away.location","away.name","away.abbreviation","away.displayName","away.shortDisplayName","away.color","away.alternateColor","away.isActive","away.venue.id","away.logo","away.conferenceId","season","status.type.altDetail","tournamentId","groups.id","groups.name","groups.shortName","groups.isConference","game_id","PBP","team_box","player_box"
270872751,"s:40~l:54~e:270872751~c:270872751","2007-03-29T01:00Z",0,"True","False","False","False","[{'type': 'event', 'headline': 'WNIT SEMIFINALS'}]","2007-03-29T01:00Z",NA,"",0,"0:00",5,3,"STATUS_FINAL","post","True","Final","Final/3OT","Final/3OT",2751,"s:40~l:54~t:2751","Wyoming","Cowgirls","WYO","Wyoming Cowgirls","Wyoming","533B22","ffffff","True",2053,"https://a.espncdn.com/i/teamlogos/ncaa/500/2751.png",44,2306,"s:40~l:54~t:2306","Kansas St","Wildcats","KSU","Kansas St Wildcats","Kansas State","633194","e7d2ad","True",2131,"https://a.espncdn.com/i/teamlogos/ncaa/500/2306.png",8,2007,"3OT",37,NA,"","","",270872751,TRUE,FALSE,FALSE
270870275,"s:40~l:54~e:270870275~c:270870275","2007-03-29T00:00Z",0,"True","False","False","False","[{'type': 'event', 'headline': 'WNIT SEMIFINALS'}]","2007-03-29T00:00Z",NA,"",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",275,"s:40~l:54~t:275","Wisconsin","Badgers","WISC","Wisconsin Badgers","Wisconsin","A00000","f7f7f7","True",348,"https://a.espncdn.com/i/teamlogos/ncaa/500/275.png",7,98,"s:40~l:54~t:98","Western Kentucky","Lady Toppers","WKU","Western Kentucky Lady Toppers","Western KY","F32026","b3b5b8","True",1971,"https://a.espncdn.com/i/teamlogos/ncaa/500/98.png",27,2007,"",37,NA,"","","",270870275,TRUE,FALSE,FALSE
270700042,"s:40~l:54~e:270700042~c:270700042","2007-03-11T21:00Z",0,"True","False","True","False","[{'type': 'event', 'headline': 'AMERICA EAST CHAMP AT BINGHAMTON NY'}]","2007-03-11T21:00Z",0,"N/A",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",42,"s:40~l:54~t:42","Hartford","Hawks","HART","Hartford Hawks","Hartford","d60008","000000","True",1929,"https://a.espncdn.com/i/teamlogos/ncaa/500/42.png",1,2378,"s:40~l:54~t:2378","UMBC","Retrievers","UMBC","UMBC Retrievers","UMBC","000000","ad860a","True",6008,"https://a.espncdn.com/i/teamlogos/ncaa/500/2378.png",1,2007,"",NA,1,"America East Conference","Am. East","True",270700042,TRUE,FALSE,FALSE
270700156,"s:40~l:54~e:270700156~c:270700156","2007-03-11T19:05Z",0,"True","False","True","False","[{'type': 'event', 'headline': 'MISSOURI VALLEY CONF CHAMPIONSHIP AT DES MOINES IA'}]","2007-03-11T19:05Z",0,"N/A",0,"0:00",3,3,"STATUS_FINAL","post","True","Final","Final/OT","Final/OT",156,"s:40~l:54~t:156","Creighton","Bluejays","CREI","Creighton Bluejays","Creighton","13299e","00235d","True",2162,"https://a.espncdn.com/i/teamlogos/ncaa/500/156.png",18,2181,"s:40~l:54~t:2181","Drake","Bulldogs","DRKE","Drake Bulldogs","Drake","004477","c0c0c0","True",2075,"https://a.espncdn.com/i/teamlogos/ncaa/500/2181.png",18,2007,"OT",NA,18,"Missouri Valley Conference","MVC","True",270700156,TRUE,FALSE,FALSE
270700295,"s:40~l:54~e:270700295~c:270700295","2007-03-11T18:00Z",0,"True","False","True","False","[{'type': 'event', 'headline': 'COLONIAL ATHLETIC CHAMPIONSHIP AT NEWARK DE'}]","2007-03-11T18:00Z",0,"N/A",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",295,"s:40~l:54~t:295","Old Dominion","Monarchs","ODU","Old Dominion Monarchs","Old Dominion","00507d","a1d2f1","True",1940,"https://a.espncdn.com/i/teamlogos/ncaa/500/295.png",10,256,"s:40~l:54~t:256","James Madison","Dukes","JMU","James Madison Dukes","James Madison","450084","cbb778","True",7107,"https://a.espncdn.com/i/teamlogos/ncaa/500/256.png",10,2007,"",NA,10,"Colonial Athletic Association","CAA","True",270700295,TRUE,FALSE,FALSE
270702739,"s:40~l:54~e:270702739~c:270702739","2007-03-11T17:00Z",0,"True","False","True","False","[{'type': 'event', 'headline': 'HORIZON LEAGUE CHAMPIONSHIP AT GREEN BAY WI'}]","2007-03-11T17:00Z",0,"N/A",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",2739,"s:40~l:54~t:2739","Green Bay","Phoenix","GB","Green Bay Phoenix","Green Bay","006633","b21038","True",1946,"https://a.espncdn.com/i/teamlogos/ncaa/500/2739.png",45,2086,"s:40~l:54~t:2086","Butler","Bulldogs","BUT","Butler Bulldogs","Butler","0d1361","00a3e0","True",2032,"https://a.espncdn.com/i/teamlogos/ncaa/500/2086.png",45,2007,"",NA,45,"Horizon League","Horizon","True",270702739,TRUE,FALSE,FALSE
270690304,"s:40~l:54~e:270690304~c:270690304","2007-03-11T02:00Z",0,"True","False","True","False","[{'type': 'event', 'headline': 'BIG SKY CHAMP AT MISSOULA MT'}]","2007-03-11T02:00Z",0,"N/A",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",304,"s:40~l:54~t:304","Idaho State","Bengals","IDST","Idaho State Bengals","Idaho State","ef8c00","e9a126","True",1904,"https://a.espncdn.com/i/teamlogos/ncaa/500/304.png",5,2464,"s:40~l:54~t:2464","Northern Arizona","Lumberjacks","NAU","Northern Arizona Lumberjacks","N Arizona","003976","1b3069","True",2023,"https://a.espncdn.com/i/teamlogos/ncaa/500/2464.png",5,2007,"",NA,5,"Big Sky Conference","Big Sky","True",270690304,TRUE,FALSE,FALSE
270690042,"s:40~l:54~e:270690042~c:270690042","2007-03-11T00:30Z",0,"True","False","True","False","[{'type': 'event', 'headline': 'AMERICA EAST CONF TR AT BINGHAMTON NY'}]","2007-03-11T00:30Z",0,"N/A",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",42,"s:40~l:54~t:42","Hartford","Hawks","HART","Hartford Hawks","Hartford","d60008","000000","True",1929,"https://a.espncdn.com/i/teamlogos/ncaa/500/42.png",1,2066,"s:40~l:54~t:2066","Binghamton","Bearcats","BING","Binghamton Bearcats","Binghamton","00614A","f0f0f0","True",1924,"https://a.espncdn.com/i/teamlogos/ncaa/500/2066.png",1,2007,"",NA,1,"America East Conference","Am. East","True",270690042,TRUE,FALSE,FALSE
270690201,"s:40~l:54~e:270690201~c:270690201","2007-03-11T00:00Z",0,"True","False","True","False","[{'type': 'event', 'headline': 'BIG 12 CHAMPIONSHIP AT OKLAHOMA CITY OK'}]","2007-03-11T00:00Z",0,"N/A",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",201,"s:40~l:54~t:201","Oklahoma","Sooners","OU","Oklahoma Sooners","Oklahoma","7b0000","cccccc","True",1991,"https://a.espncdn.com/i/teamlogos/ncaa/500/201.png",8,66,"s:40~l:54~t:66","Iowa State","Cyclones","ISU","Iowa State Cyclones","Iowa State","660015","830b2c","True",432,"https://a.espncdn.com/i/teamlogos/ncaa/500/66.png",8,2007,"",NA,8,"Big 12 Conference","Big 12","True",270690201,TRUE,FALSE,FALSE
270690261,"s:40~l:54~e:270690261~c:270690261","2007-03-10T22:00Z",0,"True","False","True","False","[{'type': 'event', 'headline': 'AMERICA EAST CONF TR AT BINGHAMTON NY'}]","2007-03-10T22:00Z",0,"N/A",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",261,"s:40~l:54~t:261","Vermont","Catamounts","UVM","Vermont Catamounts","Vermont","013C24","ffc72c","True",2118,"https://a.espncdn.com/i/teamlogos/ncaa/500/261.png",1,2378,"s:40~l:54~t:2378","UMBC","Retrievers","UMBC","UMBC Retrievers","UMBC","000000","ad860a","True",6008,"https://a.espncdn.com/i/teamlogos/ncaa/500/2378.png",1,2007,"",NA,1,"America East Conference","Am. East","True",270690261,TRUE,FALSE,FALSE
