"id","uid","date","attendance","timeValid","neutralSite","conferenceCompetition","recent","notes","startDate","type.id","type.abbreviation","status.clock","status.displayClock","status.period","status.type.id","status.type.name","status.type.state","status.type.completed","status.type.description","status.type.detail","status.type.shortDetail","home.id","home.uid","home.location","home.name","home.abbreviation","home.displayName","home.shortDisplayName","home.color","home.alternateColor","home.isActive","home.venue.id","home.logo","home.conferenceId","away.id","away.uid","away.location","away.name","away.abbreviation","away.displayName","away.shortDisplayName","away.color","away.alternateColor","away.isActive","away.venue.id","away.logo","away.conferenceId","tournamentId","status.type.altDetail","season","groups.id","groups.name","groups.shortName","groups.isConference","venue.id","venue.fullName","venue.address.city","venue.address.state","venue.capacity","venue.indoor","game_id","PBP"
320910197,"s:40~l:54~e:320910197~c:320910197","2012-03-31T19:00Z",0,"True","False","False","False","[{'type': 'event', 'headline': ""WOMEN'S NIT - CHAMPIONSHIP""}]","2012-03-31T19:00Z",NA,"",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",197,"s:40~l:54~t:197","Oklahoma State","Cowgirls","OKST","Oklahoma State Cowgirls","Oklahoma State","FF6500","ff9900","True",1992,"https://a.espncdn.com/i/teamlogos/ncaa/500/197.png",8,256,"s:40~l:54~t:256","James Madison","Dukes","JMU","James Madison Dukes","James Madison","450084","cbb778","True",7107,"https://a.espncdn.com/i/teamlogos/ncaa/500/256.png",10,37,"",2012,NA,"","","",1992,"Gallagher-Iba Arena","Stillwater","OK",13611,"True",320910197,TRUE
320880197,"s:40~l:54~e:320880197~c:320880197","2012-03-29T00:00Z",0,"True","False","False","False","[{'type': 'event', 'headline': ""WOMEN'S NIT - SEMIFINAL""}]","2012-03-29T00:00Z",NA,"",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",197,"s:40~l:54~t:197","Oklahoma State","Cowgirls","OKST","Oklahoma State Cowgirls","Oklahoma State","FF6500","ff9900","True",1992,"https://a.espncdn.com/i/teamlogos/ncaa/500/197.png",8,301,"s:40~l:54~t:301","San Diego","Toreros","USD","San Diego Toreros","San Diego","2f99d4","2f99d4","True",501,"https://a.espncdn.com/i/teamlogos/ncaa/500/301.png",29,37,"",2012,NA,"","","",1992,"Gallagher-Iba Arena","Stillwater","OK",13611,"True",320880197,TRUE
320880256,"s:40~l:54~e:320880256~c:320880256","2012-03-28T23:00Z",0,"True","False","False","False","[{'type': 'event', 'headline': ""WOMEN'S NIT - SEMIFINAL""}]","2012-03-28T23:00Z",NA,"",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",256,"s:40~l:54~t:256","James Madison","Dukes","JMU","James Madison Dukes","James Madison","450084","cbb778","True",7107,"https://a.espncdn.com/i/teamlogos/ncaa/500/256.png",10,183,"s:40~l:54~t:183","Syracuse","Orange","SYR","Syracuse Orange","Syracuse","F37321","0d1d37","True",1964,"https://a.espncdn.com/i/teamlogos/ncaa/500/183.png",4,37,"",2012,NA,"","","",1980,"JMU Convocation Center","Harrisonburg","VA",6426,"True",320880256,TRUE
320850264,"s:40~l:54~e:320850264~c:320850264","2012-03-25T19:00Z",0,"True","False","False","False","[{'type': 'event', 'headline': ""WOMEN'S NIT - QUARTERFINAL""}]","2012-03-25T19:00Z",NA,"",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",264,"s:40~l:54~t:264","Washington","Huskies","WASH","Washington Huskies","Washington","2B2F64","e8e3d3","True",782,"https://a.espncdn.com/i/teamlogos/ncaa/500/264.png",21,301,"s:40~l:54~t:301","San Diego","Toreros","USD","San Diego Toreros","San Diego","2f99d4","2f99d4","True",501,"https://a.espncdn.com/i/teamlogos/ncaa/500/301.png",29,37,"",2012,NA,"","","",NA,"","","",NA,"",320850264,TRUE
320850256,"s:40~l:54~e:320850256~c:320850256","2012-03-25T18:00Z",0,"True","False","False","False","[{'type': 'event', 'headline': ""WOMEN'S NIT - QUARTERFINAL""}]","2012-03-25T18:00Z",NA,"",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",256,"s:40~l:54~t:256","James Madison","Dukes","JMU","James Madison Dukes","James Madison","450084","cbb778","True",7107,"https://a.espncdn.com/i/teamlogos/ncaa/500/256.png",10,258,"s:40~l:54~t:258","Virginia","Cavaliers","UVA","Virginia Cavaliers","Virginia","f84c1e","ffffff","True",1927,"https://a.espncdn.com/i/teamlogos/ncaa/500/258.png",2,37,"",2012,NA,"","","",1980,"JMU Convocation Center","Harrisonburg","VA",6426,"True",320850256,TRUE
320850197,"s:40~l:54~e:320850197~c:320850197","2012-03-25T17:30Z",0,"True","False","False","False","[{'type': 'event', 'headline': ""WOMEN'S NIT - QUARTERFINAL""}]","2012-03-25T17:30Z",NA,"",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",197,"s:40~l:54~t:197","Oklahoma State","Cowgirls","OKST","Oklahoma State Cowgirls","Oklahoma State","FF6500","ff9900","True",1992,"https://a.espncdn.com/i/teamlogos/ncaa/500/197.png",8,38,"s:40~l:54~t:38","Colorado","Buffaloes","COLO","Colorado Buffaloes","Colorado","d1c57e","ffd200","True",2207,"https://a.espncdn.com/i/teamlogos/ncaa/500/38.png",21,37,"",2012,NA,"","","",1992,"Gallagher-Iba Arena","Stillwater","OK",13611,"True",320850197,TRUE
320842649,"s:40~l:54~e:320842649~c:320842649","2012-03-24T18:00Z",0,"True","False","False","False","[{'type': 'event', 'headline': ""WOMEN'S NIT - QUARTERFINAL""}]","2012-03-24T18:00Z",NA,"",0,"0:00",3,3,"STATUS_FINAL","post","True","Final","Final/OT","Final/OT",2649,"s:40~l:54~t:2649","Toledo","Rockets","TOL","Toledo Rockets","Toledo","ffffff","ffd51d","True",2116,"https://a.espncdn.com/i/teamlogos/ncaa/500/2649.png",14,183,"s:40~l:54~t:183","Syracuse","Orange","SYR","Syracuse Orange","Syracuse","F37321","0d1d37","True",1964,"https://a.espncdn.com/i/teamlogos/ncaa/500/183.png",4,37,"OT",2012,NA,"","","",684,"Allen County War Memorial Coliseum","Fort Wayne","IN",0,"True",320842649,TRUE
320830256,"s:40~l:54~e:320830256~c:320830256","2012-03-23T23:00Z",0,"True","False","False","False","[{'type': 'event', 'headline': ""WOMEN'S NIT - 3rd ROUND""}]","2012-03-23T23:00Z",NA,"",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",256,"s:40~l:54~t:256","James Madison","Dukes","JMU","James Madison Dukes","James Madison","450084","cbb778","True",7107,"https://a.espncdn.com/i/teamlogos/ncaa/500/256.png",10,58,"s:40~l:54~t:58","South Florida","Bulls","USF","South Florida Bulls","South Florida","004A36","231f20","True",2041,"https://a.espncdn.com/i/teamlogos/ncaa/500/58.png",4,37,"",2012,NA,"","","",1980,"JMU Convocation Center","Harrisonburg","VA",6426,"True",320830256,TRUE
320820038,"s:40~l:54~e:320820038~c:320820038","2012-03-23T01:00Z",0,"True","False","False","False","[{'type': 'event', 'headline': ""WOMEN'S NIT - 3rd ROUND""}]","2012-03-23T01:00Z",NA,"",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",38,"s:40~l:54~t:38","Colorado","Buffaloes","COLO","Colorado Buffaloes","Colorado","d1c57e","ffd200","True",2207,"https://a.espncdn.com/i/teamlogos/ncaa/500/38.png",21,222,"s:40~l:54~t:222","Villanova","Wildcats","VILL","Villanova Wildcats","Villanova","123d7C","f0f0f0","True",1969,"https://a.espncdn.com/i/teamlogos/ncaa/500/222.png",4,37,"",2012,NA,"","","",2207,"CU Events Center","Boulder","CO",11064,"True",320820038,TRUE
320822641,"s:40~l:54~e:320822641~c:320822641","2012-03-23T00:00Z",0,"True","False","False","False","[{'type': 'event', 'headline': ""WOMEN'S NIT - 3rd ROUND""}]","2012-03-23T00:00Z",NA,"",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",2641,"s:40~l:54~t:2641","Texas Tech","Lady Raiders","TTU","Texas Tech Lady Raiders","Texas Tech","C80025","231f20","True",2047,"https://a.espncdn.com/i/teamlogos/ncaa/500/2641.png",8,301,"s:40~l:54~t:301","San Diego","Toreros","USD","San Diego Toreros","San Diego","2f99d4","2f99d4","True",501,"https://a.espncdn.com/i/teamlogos/ncaa/500/301.png",29,37,"",2012,NA,"","","",2047,"United Supermarkets Arena","Lubbock","TX",15098,"True",320822641,TRUE
