id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,notes,start_date,type_id,type_abbreviation,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_color,home_alternate_color,home_is_active,home_venue_id,home_logo,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_is_active,away_venue_id,game_id,season,season_type,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor,away_color,away_alternate_color,away_logo,status_type_alt_detail,PBP
220831006,s:40~l:59~e:220831006~c:220831006,2002-08-31T19:30Z,0,TRUE,FALSE,FALSE,FALSE,[],2002-08-31T19:30Z,1,STD,0,0.0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,6,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,532481,49ac9c,TRUE,1841,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,9,s:40~l:59~t:9,New York,Liberty,NYL,New York Liberty,Liberty,TRUE,1826,220831006,2002,3,1841,crypto.com Arena,Los Angeles,CA,19068,TRUE,0d79b9,89c9bf,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,"",TRUE
220829009,s:40~l:59~e:220829009~c:220829009,2002-08-29T23:30Z,0,TRUE,FALSE,FALSE,FALSE,[],2002-08-29T23:30Z,1,STD,0,0.0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,9,s:40~l:59~t:9,New York,Liberty,NYL,New York Liberty,Liberty,0d79b9,89c9bf,TRUE,1826,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,6,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,TRUE,1841,220829009,2002,3,1830,Madison Square Garden,New York,NY,19763,FALSE,532481,49ac9c,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,"",TRUE
220825009,s:40~l:59~e:220825009~c:220825009,2002-08-25T23:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2002-08-25T23:00Z,1,STD,6,6.0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,9,s:40~l:59~t:9,New York,Liberty,NYL,New York Liberty,Liberty,0d79b9,89c9bf,TRUE,1826,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,16,s:40~l:59~t:16,Washington,Mystics,WAS,Washington Mystics,Mystics,TRUE,1823,220825009,2002,3,1830,Madison Square Garden,New York,NY,19763,FALSE,e03a3e,09295a,https://a.espncdn.com/i/teamlogos/wnba/500/was.png,"",TRUE
220824009,s:40~l:59~e:220824009~c:220824009,2002-08-25T00:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2002-08-25T00:00Z,1,STD,4,4.0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,9,s:40~l:59~t:9,New York,Liberty,NYL,New York Liberty,Liberty,0d79b9,89c9bf,TRUE,1826,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,16,s:40~l:59~t:16,Washington,Mystics,WAS,Washington Mystics,Mystics,TRUE,1823,220824009,2002,3,1830,Madison Square Garden,New York,NY,19763,FALSE,e03a3e,09295a,https://a.espncdn.com/i/teamlogos/wnba/500/was.png,"",TRUE
220824006,s:40~l:59~e:220824006~c:220824006,2002-08-24T20:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2002-08-24T20:00Z,1,STD,25,25.0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,6,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,532481,49ac9c,TRUE,1841,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,15,s:40~l:59~t:15,Utah,Starzz,UTH,Utah Starzz,Starzz,TRUE,,220824006,2002,3,1841,crypto.com Arena,Los Angeles,CA,19068,TRUE,"","","","",TRUE
220822015,s:40~l:59~e:220822015~c:220822015,2002-08-23T02:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2002-08-23T02:00Z,1,STD,14,14.0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,15,s:40~l:59~t:15,Utah,Starzz,UTH,Utah Starzz,Starzz,"","",TRUE,,"",6,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,TRUE,1841,220822015,2002,3,,"","","",,,532481,49ac9c,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,"",TRUE
220822016,s:40~l:59~e:220822016~c:220822016,2002-08-23T00:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2002-08-23T00:00Z,1,STD,0,0.0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,16,s:40~l:59~t:16,Washington,Mystics,WAS,Washington Mystics,Mystics,e03a3e,09295a,TRUE,1823,https://a.espncdn.com/i/teamlogos/wnba/500/was.png,9,s:40~l:59~t:9,New York,Liberty,NYL,New York Liberty,Liberty,TRUE,1826,220822016,2002,3,1823,Capital One Arena,Washington,DC,20362,TRUE,0d79b9,89c9bf,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,"",TRUE
220820004,s:40~l:59~e:220820004~c:220820004,2002-08-21T02:00Z,0,TRUE,FALSE,FALSE,TRUE,[],2002-08-21T02:00Z,1,STD,0,0.0,0,0,STATUS_TBD,pre,FALSE,TBD,TBD,TBD,2,4,s:40~l:59~t:4,Houston,Comets,HOU,Houston Comets,Comets,"","",TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/hou.png,15,s:40~l:59~t:15,Utah,Starzz,UTH,Utah Starzz,Starzz,TRUE,,220820004,2002,3,,"","","",,,"","","","",FALSE
220820009,s:40~l:59~e:220820009~c:220820009,2002-08-21T00:00Z,0,TRUE,FALSE,FALSE,TRUE,[],2002-08-21T00:00Z,1,STD,0,0.0,0,0,STATUS_TBD,pre,FALSE,TBD,TBD,TBD,2,9,s:40~l:59~t:9,New York,Liberty,NYL,New York Liberty,Liberty,0d79b9,89c9bf,TRUE,1826,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,TRUE,,220820009,2002,3,1830,Madison Square Garden,New York,NY,19763,FALSE,e2382f,08265b,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,"",FALSE
220818004,s:40~l:59~e:220818004~c:220818004,2002-08-18T20:30Z,0,TRUE,FALSE,FALSE,FALSE,[],2002-08-18T20:30Z,1,STD,17,17.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,4,s:40~l:59~t:4,Houston,Comets,HOU,Houston Comets,Comets,"","",TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/hou.png,15,s:40~l:59~t:15,Utah,Starzz,UTH,Utah Starzz,Starzz,TRUE,,220818004,2002,3,,"","","",,,"","","","",TRUE
