"id","uid","date","attendance","timeValid","neutralSite","conferenceCompetition","recent","notes","startDate","type.id","type.abbreviation","status.clock","status.displayClock","status.period","status.type.id","status.type.name","status.type.state","status.type.completed","status.type.description","status.type.detail","status.type.shortDetail","home.id","home.uid","home.location","home.name","home.abbreviation","home.displayName","home.shortDisplayName","home.color","home.alternateColor","home.isActive","home.venue.id","home.logo","away.id","away.uid","away.location","away.name","away.abbreviation","away.displayName","away.shortDisplayName","away.isActive","away.venue.id","season","venue.id","venue.fullName","venue.address.city","venue.address.state","venue.capacity","venue.indoor","series.type","series.title","series.summary","series.completed","series.totalCompetitions","series.competitors","away.color","away.alternateColor","away.logo","status.type.altDetail","game_id","PBP"
220831006,"s:40~l:59~e:220831006~c:220831006","2002-08-31T19:30Z",0,"True","False","False","False","[]","2002-08-31T19:30Z",1,"STD",0,"0.0",2,3,"STATUS_FINAL","post","True","Final","Final","Final",6,"s:40~l:59~t:6","Los Angeles","Sparks","LOS","Los Angeles Sparks","Sparks","532481","49ac9c","True",1841,"https://a.espncdn.com/i/teamlogos/wnba/500/los.png",9,"s:40~l:59~t:9","New York","Liberty","NYL","New York Liberty","Liberty","True",1826,2002,1841,"STAPLES Center","Los Angeles","CA",19068,"True","playoff","Playoff Series","LOS Wins series 2-0","True",3,"[{'id': '6', 'uid': 's:40~l:59~t:6', 'wins': 2, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2002/teams/6?lang=en&region=us'}, {'id': '9', 'uid': 's:40~l:59~t:9', 'wins': 0, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2002/teams/9?lang=en&region=us'}]","0d79b9","89c9bf","https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png","",220831006,TRUE
220829009,"s:40~l:59~e:220829009~c:220829009","2002-08-29T23:30Z",0,"True","False","False","False","[]","2002-08-29T23:30Z",1,"STD",0,"0.0",2,3,"STATUS_FINAL","post","True","Final","Final","Final",9,"s:40~l:59~t:9","New York","Liberty","NYL","New York Liberty","Liberty","0d79b9","89c9bf","True",1826,"https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png",6,"s:40~l:59~t:6","Los Angeles","Sparks","LOS","Los Angeles Sparks","Sparks","True",1841,2002,1830,"Madison Square Garden","New York","NY",19763,"False","playoff","Playoff Series","LOS leads series 1-0","False",3,"[{'id': '9', 'uid': 's:40~l:59~t:9', 'wins': 0, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2002/teams/9?lang=en&region=us'}, {'id': '6', 'uid': 's:40~l:59~t:6', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2002/teams/6?lang=en&region=us'}]","532481","49ac9c","https://a.espncdn.com/i/teamlogos/wnba/500/los.png","",220829009,TRUE
220825009,"s:40~l:59~e:220825009~c:220825009","2002-08-25T23:00Z",0,"True","False","False","False","[]","2002-08-25T23:00Z",1,"STD",6,"6.0",2,3,"STATUS_FINAL","post","True","Final","Final","Final",9,"s:40~l:59~t:9","New York","Liberty","NYL","New York Liberty","Liberty","0d79b9","89c9bf","True",1826,"https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png",16,"s:40~l:59~t:16","Washington","Mystics","WAS","Washington Mystics","Mystics","True",1823,2002,1830,"Madison Square Garden","New York","NY",19763,"False","playoff","Playoff Series","NYL Wins series 2-1","True",3,"[{'id': '9', 'uid': 's:40~l:59~t:9', 'wins': 2, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2002/teams/9?lang=en&region=us'}, {'id': '16', 'uid': 's:40~l:59~t:16', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2002/teams/16?lang=en&region=us'}]","e03a3e","09295a","https://a.espncdn.com/i/teamlogos/wnba/500/was.png","",220825009,TRUE
220824009,"s:40~l:59~e:220824009~c:220824009","2002-08-25T00:00Z",0,"True","False","False","False","[]","2002-08-25T00:00Z",1,"STD",4,"4.0",2,3,"STATUS_FINAL","post","True","Final","Final","Final",9,"s:40~l:59~t:9","New York","Liberty","NYL","New York Liberty","Liberty","0d79b9","89c9bf","True",1826,"https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png",16,"s:40~l:59~t:16","Washington","Mystics","WAS","Washington Mystics","Mystics","True",1823,2002,1830,"Madison Square Garden","New York","NY",19763,"False","playoff","Playoff Series","Series tied 1-1","False",3,"[{'id': '9', 'uid': 's:40~l:59~t:9', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2002/teams/9?lang=en&region=us'}, {'id': '16', 'uid': 's:40~l:59~t:16', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2002/teams/16?lang=en&region=us'}]","e03a3e","09295a","https://a.espncdn.com/i/teamlogos/wnba/500/was.png","",220824009,TRUE
220824006,"s:40~l:59~e:220824006~c:220824006","2002-08-24T20:00Z",0,"True","False","False","False","[]","2002-08-24T20:00Z",1,"STD",25,"25.0",2,3,"STATUS_FINAL","post","True","Final","Final","Final",6,"s:40~l:59~t:6","Los Angeles","Sparks","LOS","Los Angeles Sparks","Sparks","532481","49ac9c","True",1841,"https://a.espncdn.com/i/teamlogos/wnba/500/los.png",15,"s:40~l:59~t:15","Utah","Starzz","UTH","Utah Starzz","Starzz","True",NA,2002,1841,"STAPLES Center","Los Angeles","CA",19068,"True","playoff","Playoff Series","LOS Wins series 2-0","True",3,"[{'id': '6', 'uid': 's:40~l:59~t:6', 'wins': 2, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2002/teams/6?lang=en&region=us'}, {'id': '15', 'uid': 's:40~l:59~t:15', 'wins': 0, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2002/teams/15?lang=en&region=us'}]","","","","",220824006,TRUE
220822015,"s:40~l:59~e:220822015~c:220822015","2002-08-23T02:00Z",0,"True","False","False","False","[]","2002-08-23T02:00Z",1,"STD",14,"14.0",2,3,"STATUS_FINAL","post","True","Final","Final","Final",15,"s:40~l:59~t:15","Utah","Starzz","UTH","Utah Starzz","Starzz","","","True",NA,"",6,"s:40~l:59~t:6","Los Angeles","Sparks","LOS","Los Angeles Sparks","Sparks","True",1841,2002,NA,"","","",NA,"","playoff","Playoff Series","LOS leads series 1-0","False",3,"[{'id': '15', 'uid': 's:40~l:59~t:15', 'wins': 0, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2002/teams/15?lang=en&region=us'}, {'id': '6', 'uid': 's:40~l:59~t:6', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2002/teams/6?lang=en&region=us'}]","532481","49ac9c","https://a.espncdn.com/i/teamlogos/wnba/500/los.png","",220822015,TRUE
220822016,"s:40~l:59~e:220822016~c:220822016","2002-08-23T00:00Z",0,"True","False","False","False","[]","2002-08-23T00:00Z",1,"STD",0,"0.0",2,3,"STATUS_FINAL","post","True","Final","Final","Final",16,"s:40~l:59~t:16","Washington","Mystics","WAS","Washington Mystics","Mystics","e03a3e","09295a","True",1823,"https://a.espncdn.com/i/teamlogos/wnba/500/was.png",9,"s:40~l:59~t:9","New York","Liberty","NYL","New York Liberty","Liberty","True",1826,2002,1823,"Capital One Arena","Washington","DC",20362,"True","playoff","Playoff Series","WAS leads series 1-0","False",3,"[{'id': '16', 'uid': 's:40~l:59~t:16', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2002/teams/16?lang=en&region=us'}, {'id': '9', 'uid': 's:40~l:59~t:9', 'wins': 0, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2002/teams/9?lang=en&region=us'}]","0d79b9","89c9bf","https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png","",220822016,TRUE
220820004,"s:40~l:59~e:220820004~c:220820004","2002-08-21T02:00Z",0,"True","False","False","True","[]","2002-08-21T02:00Z",1,"STD",0,"0.0",0,0,"STATUS_TBD","pre","False","TBD","TBD","TBD",4,"s:40~l:59~t:4","Houston","Comets","HOU","Houston Comets","Comets","","","True",NA,"https://a.espncdn.com/i/teamlogos/wnba/500/hou.png",15,"s:40~l:59~t:15","Utah","Starzz","UTH","Utah Starzz","Starzz","True",NA,2002,NA,"","","",NA,"","playoff","Playoff Series","Series tied 1-1","False",3,"[{'id': '4', 'uid': 's:40~l:59~t:4', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2002/teams/4?lang=en&region=us'}, {'id': '15', 'uid': 's:40~l:59~t:15', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2002/teams/15?lang=en&region=us'}]","","","","",220820004,FALSE
220820009,"s:40~l:59~e:220820009~c:220820009","2002-08-21T00:00Z",0,"True","False","False","True","[]","2002-08-21T00:00Z",1,"STD",0,"0.0",0,0,"STATUS_TBD","pre","False","TBD","TBD","TBD",9,"s:40~l:59~t:9","New York","Liberty","NYL","New York Liberty","Liberty","0d79b9","89c9bf","True",1826,"https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png",5,"s:40~l:59~t:5","Indiana","Fever","IND","Indiana Fever","Fever","True",NA,2002,1830,"Madison Square Garden","New York","NY",19763,"False","playoff","Playoff Series","Series tied 1-1","False",3,"[{'id': '9', 'uid': 's:40~l:59~t:9', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2002/teams/9?lang=en&region=us'}, {'id': '5', 'uid': 's:40~l:59~t:5', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2002/teams/5?lang=en&region=us'}]","e2382f","08265b","https://a.espncdn.com/i/teamlogos/wnba/500/ind.png","",220820009,FALSE
220818004,"s:40~l:59~e:220818004~c:220818004","2002-08-18T20:30Z",0,"True","False","False","False","[]","2002-08-18T20:30Z",1,"STD",17,"17.0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",4,"s:40~l:59~t:4","Houston","Comets","HOU","Houston Comets","Comets","","","True",NA,"https://a.espncdn.com/i/teamlogos/wnba/500/hou.png",15,"s:40~l:59~t:15","Utah","Starzz","UTH","Utah Starzz","Starzz","True",NA,2002,NA,"","","",NA,"","playoff","Playoff Series","Series tied 1-1","False",3,"[{'id': '4', 'uid': 's:40~l:59~t:4', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2002/teams/4?lang=en&region=us'}, {'id': '15', 'uid': 's:40~l:59~t:15', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2002/teams/15?lang=en&region=us'}]","","","","",220818004,TRUE
