stat_name,stat_displayValue,stat_label,stat_abbreviation,team_id,team_uid,team_slug,team_location,team_name,team_abbreviation,team_displayName,team_shortDisplayName,team_color,team_alternateColor,team_logo,game_id
fieldGoalsMade-fieldGoalsAttempted,37-88,FG,,5,s:40~l:59~t:5,indiana-fever,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,401320565
fieldGoalPct,42.0,Field Goal %,FG%,5,s:40~l:59~t:5,indiana-fever,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,401320565
threePointFieldGoalsMade-threePointFieldGoalsAttempted,3-18,3PT,,5,s:40~l:59~t:5,indiana-fever,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,401320565
threePointFieldGoalPct,16.7,Three Point %,3P%,5,s:40~l:59~t:5,indiana-fever,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,401320565
freeThrowsMade-freeThrowsAttempted,10-13,FT,,5,s:40~l:59~t:5,indiana-fever,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,401320565
freeThrowPct,76.9,Free Throw %,FT%,5,s:40~l:59~t:5,indiana-fever,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,401320565
totalRebounds,45,Rebounds,REB,5,s:40~l:59~t:5,indiana-fever,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,401320565
offensiveRebounds,19,Offensive Rebounds,OR,5,s:40~l:59~t:5,indiana-fever,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,401320565
defensiveRebounds,26,Defensive Rebounds,DR,5,s:40~l:59~t:5,indiana-fever,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,401320565
assists,14,Assists,AST,5,s:40~l:59~t:5,indiana-fever,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,401320565
steals,6,Steals,STL,5,s:40~l:59~t:5,indiana-fever,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,401320565
