"id","uid","date","attendance","timeValid","neutralSite","conferenceCompetition","recent","notes","startDate","type.id","type.abbreviation","status.clock","status.displayClock","status.period","status.type.id","status.type.name","status.type.state","status.type.completed","status.type.description","status.type.detail","status.type.shortDetail","home.id","home.uid","home.location","home.name","home.abbreviation","home.displayName","home.shortDisplayName","home.color","home.alternateColor","home.isActive","home.venue.id","home.logo","away.id","away.uid","away.location","away.name","away.abbreviation","away.displayName","away.shortDisplayName","away.isActive","away.venue.id","season","venue.id","venue.fullName","venue.address.city","venue.address.state","venue.capacity","venue.indoor","series.type","series.title","series.summary","series.completed","series.totalCompetitions","series.competitors","away.color","away.alternateColor","away.logo","status.type.altDetail","game_id","PBP","odds","situation.lastPlay.id","situation.lastPlay.type.id","situation.lastPlay.type.text","situation.lastPlay.text","situation.lastPlay.scoreValue","situation.lastPlay.team.id","situation.lastPlay.athletesInvolved"
401320574,"s:40~l:59~e:401320574~c:401320574","2021-05-19T00:00Z",1050,"True","False","False","True","[]","2021-05-19T00:00Z",1,"STD",0,"0.0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",16,"s:40~l:59~t:16","Washington","Mystics","WSH","Washington Mystics","Mystics","e03a3e","09295a","True",1823,"https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png",11,"s:40~l:59~t:11","Phoenix","Mercury","PHX","Phoenix Mercury","Mercury","True",1949,2021,5946,"Entertainment & Sports Arena","Washington","DC",4200,"True",NA,NA,NA,NA,NA,NA,"3a267d","e56020","https://a.espncdn.com/i/teamlogos/wnba/500/phx.png",NA,401320574,TRUE,NA,NA,NA,"","",NA,NA,""
401320573,"s:40~l:59~e:401320573~c:401320573","2021-05-18T23:00Z",815,"True","False","False","False","[]","2021-05-18T23:00Z",1,"STD",0,"0.0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",9,"s:40~l:59~t:9","New York","Liberty","NY","New York Liberty","Liberty","0d79b9","89c9bf","True",1830,"https://a.espncdn.com/i/teamlogos/wnba/500/ny.png",8,"s:40~l:59~t:8","Minnesota","Lynx","MIN","Minnesota Lynx","Lynx","True",2029,2021,3559,"Barclays Center","Brooklyn","NY",17732,"True",NA,NA,NA,NA,NA,NA,"005084","47a757","https://a.espncdn.com/i/teamlogos/wnba/500/min.png",NA,401320573,TRUE,NA,NA,NA,"","",NA,NA,""
401320572,"s:40~l:59~e:401320572~c:401320572","2021-05-16T23:00Z",2042,"True","False","False","False","[]","2021-05-16T23:00Z",1,"STD",0,"0.0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",18,"s:40~l:59~t:18","Connecticut","Sun","CONN","Connecticut Sun","Sun","de6b36","002d62","True",2160,"https://a.espncdn.com/i/teamlogos/wnba/500/conn.png",11,"s:40~l:59~t:11","Phoenix","Mercury","PHX","Phoenix Mercury","Mercury","True",1949,2021,2160,"Mohegan Sun Arena","Uncasville","CT",10000,"True",NA,NA,NA,NA,NA,NA,"3a267d","e56020","https://a.espncdn.com/i/teamlogos/wnba/500/phx.png",NA,401320572,TRUE,NA,NA,NA,"","",NA,NA,""
401320571,"s:40~l:59~e:401320571~c:401320571","2021-05-16T18:00Z",0,"True","False","False","False","[{'type': 'event', 'headline': ""WNBA Commissioner's Cup""}]","2021-05-16T18:00Z",1,"STD",0,"0.0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",5,"s:40~l:59~t:5","Indiana","Fever","IND","Indiana Fever","Fever","e2382f","08265b","True",2183,"https://a.espncdn.com/i/teamlogos/wnba/500/ind.png",9,"s:40~l:59~t:9","New York","Liberty","NY","New York Liberty","Liberty","True",1830,2021,2183,"Bankers Life Fieldhouse","Indianapolis","IN",17923,"True",NA,NA,NA,NA,NA,NA,"0d79b9","89c9bf","https://a.espncdn.com/i/teamlogos/wnba/500/ny.png",NA,401320571,TRUE,NA,NA,NA,"","",NA,NA,""
401320570,"s:40~l:59~e:401320570~c:401320570","2021-05-15T19:00Z",1031,"True","False","False","False","[{'type': 'event', 'headline': ""WNBA Commissioner's Cup""}]","2021-05-15T19:00Z",1,"STD",0,"0.0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",14,"s:40~l:59~t:14","Seattle","Storm","SEA","Seattle Storm","Storm","05452a","f7c43c","True",2184,"https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png",17,"s:40~l:59~t:17","Las Vegas","Aces","LV","Las Vegas Aces","Aces","True",780,2021,5242,"Angel of the Winds Arena","Everett","WA",10000,"True",NA,NA,NA,NA,NA,NA,"000000","c7cfd4","https://a.espncdn.com/i/teamlogos/wnba/500/lv.png",NA,401320570,TRUE,NA,NA,NA,"","",NA,NA,""
401320569,"s:40~l:59~e:401320569~c:401320569","2021-05-15T17:00Z",1050,"True","False","False","False","[{'type': 'event', 'headline': ""WNBA Commissioner's Cup""}]","2021-05-15T17:00Z",1,"STD",0,"0.0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",16,"s:40~l:59~t:16","Washington","Mystics","WSH","Washington Mystics","Mystics","e03a3e","09295a","True",1823,"https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png",19,"s:40~l:59~t:19","Chicago","Sky","CHI","Chicago Sky","Sky","True",977,2021,5946,"Entertainment & Sports Arena","Washington","DC",4200,"True",NA,NA,NA,NA,NA,NA,"4f91cd","f1f2f3","https://a.espncdn.com/i/teamlogos/wnba/500/chi.png",NA,401320569,TRUE,NA,NA,NA,"","",NA,NA,""
401320568,"s:40~l:59~e:401320568~c:401320568","2021-05-15T02:30Z",0,"True","False","False","False","[{'type': 'event', 'headline': ""WNBA Commissioner's Cup""}]","2021-05-15T02:30Z",1,"STD",0,"0.0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",6,"s:40~l:59~t:6","Los Angeles","Sparks","LA","Los Angeles Sparks","Sparks","532481","49ac9c","True",1841,"https://a.espncdn.com/i/teamlogos/wnba/500/la.png",3,"s:40~l:59~t:3","Dallas","Wings","DAL","Dallas Wings","Wings","True",3416,2021,2512,"Los Angeles Convention Center","Los Angeles","CA",0,"True",NA,NA,NA,NA,NA,NA,"11213e","c5d646","https://a.espncdn.com/i/teamlogos/wnba/500/dal.png",NA,401320568,TRUE,NA,NA,NA,"","",NA,NA,""
401320567,"s:40~l:59~e:401320567~c:401320567","2021-05-15T01:00Z",2021,"True","False","False","False","[{'type': 'event', 'headline': ""WNBA Commissioner's Cup""}]","2021-05-15T01:00Z",1,"STD",0,"0.0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",8,"s:40~l:59~t:8","Minnesota","Lynx","MIN","Minnesota Lynx","Lynx","005084","47a757","True",2029,"https://a.espncdn.com/i/teamlogos/wnba/500/min.png",11,"s:40~l:59~t:11","Phoenix","Mercury","PHX","Phoenix Mercury","Mercury","True",1949,2021,2029,"Target Center","Minneapolis","MN",19006,"False",NA,NA,NA,NA,NA,NA,"3a267d","e56020","https://a.espncdn.com/i/teamlogos/wnba/500/phx.png",NA,401320567,TRUE,NA,NA,NA,"","",NA,NA,""
401320566,"s:40~l:59~e:401320566~c:401320566","2021-05-14T23:30Z",561,"True","False","False","False","[{'type': 'event', 'headline': ""WNBA Commissioner's Cup""}]","2021-05-14T23:30Z",1,"STD",0,"0.0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",20,"s:40~l:59~t:20","Atlanta","Dream","ATL","Atlanta Dream","Dream","5190cd","f1f2f3","True",2206,"https://a.espncdn.com/i/teamlogos/wnba/500/atl.png",18,"s:40~l:59~t:18","Connecticut","Sun","CONN","Connecticut Sun","Sun","True",2160,2021,6282,"Gateway Center","College Park","GA",3500,"True",NA,NA,NA,NA,NA,NA,"de6b36","002d62","https://a.espncdn.com/i/teamlogos/wnba/500/conn.png",NA,401320566,TRUE,NA,NA,NA,"","",NA,NA,""
401320565,"s:40~l:59~e:401320565~c:401320565","2021-05-14T23:00Z",1139,"True","False","False","False","[{'type': 'event', 'headline': ""WNBA Commissioner's Cup""}]","2021-05-14T23:00Z",1,"STD",0,"0.0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",9,"s:40~l:59~t:9","New York","Liberty","NY","New York Liberty","Liberty","0d79b9","89c9bf","True",1830,"https://a.espncdn.com/i/teamlogos/wnba/500/ny.png",5,"s:40~l:59~t:5","Indiana","Fever","IND","Indiana Fever","Fever","True",2183,2021,3559,"Barclays Center","Brooklyn","NY",17732,"True",NA,NA,NA,NA,NA,NA,"e2382f","08265b","https://a.espncdn.com/i/teamlogos/wnba/500/ind.png",NA,401320565,TRUE,NA,NA,NA,"","",NA,NA,""
401323455,"s:40~l:59~e:401323455~c:401323455","2021-05-11T20:30Z",0,"True","False","False","False","[]","2021-05-11T20:30Z",1,"STD",0,"0.0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",19,"s:40~l:59~t:19","Chicago","Sky","CHI","Chicago Sky","Sky","4f91cd","f1f2f3","True",977,"https://a.espncdn.com/i/teamlogos/wnba/500/chi.png",5,"s:40~l:59~t:5","Indiana","Fever","IND","Indiana Fever","Fever","True",2183,2021,5427,"Wintrust Arena","Chicago","IL",10387,"True",NA,NA,NA,NA,NA,NA,"e2382f","08265b","https://a.espncdn.com/i/teamlogos/wnba/500/ind.png",NA,401323455,TRUE,NA,NA,NA,"","",NA,NA,""
401323454,"s:40~l:59~e:401323454~c:401323454","2021-05-09T17:00Z",0,"True","False","False","False","[]","2021-05-09T17:00Z",1,"STD",0,"0.0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",5,"s:40~l:59~t:5","Indiana","Fever","IND","Indiana Fever","Fever","e2382f","08265b","True",2183,"https://a.espncdn.com/i/teamlogos/wnba/500/ind.png",19,"s:40~l:59~t:19","Chicago","Sky","CHI","Chicago Sky","Sky","True",977,2021,4947,"Indiana Farmers Coliseum","Indianapolis","IN",6800,"True",NA,NA,NA,NA,NA,NA,"4f91cd","f1f2f3","https://a.espncdn.com/i/teamlogos/wnba/500/chi.png",NA,401323454,TRUE,NA,NA,NA,"","",NA,NA,""
