id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,notes,start_date,type_id,type_abbreviation,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_color,home_alternate_color,home_is_active,home_venue_id,home_logo,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_is_active,away_venue_id,game_id,season,season_type,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor,away_color,away_alternate_color,away_logo,status_type_alt_detail,odds
220525006,s:40~l:59~e:220525006~c:220525006,2002-05-25T19:00Z,0,True,False,False,False,[],2002-05-25T19:00Z,1,STD,1.0,1.0,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,6,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,532481,49ac9c,True,1841.0,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,9,s:40~l:59~t:9,New York,Liberty,NYL,New York Liberty,Liberty,True,1826.0,220525006,2002,2,1841.0,crypto.com Arena,Los Angeles,CA,19068.0,True,0d79b9,89c9bf,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,,
220525008,s:40~l:59~e:220525008~c:220525008,2002-05-26T00:00Z,0,True,False,False,False,[],2002-05-26T00:00Z,1,STD,0.0,0.0,3,3,STATUS_FINAL,post,True,Final,Final,Final,2,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,005084,47a757,True,2029.0,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,15,s:40~l:59~t:15,Utah,Starzz,UTH,Utah Starzz,Starzz,True,,220525008,2002,2,2029.0,Target Center,Minneapolis,MN,19006.0,False,,,,,
220527004,s:40~l:59~e:220527004~c:220527004,2002-05-27T19:00Z,0,True,False,False,False,[],2002-05-27T19:00Z,1,STD,30.0,30.0,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,4,s:40~l:59~t:4,Houston,Comets,HOU,Houston Comets,Comets,,,True,,https://a.espncdn.com/i/teamlogos/wnba/500/hou.png,6,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,True,1841.0,220527004,2002,2,,,,,,,532481,49ac9c,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,,
220528007,s:40~l:59~e:220528007~c:220528007,2002-05-28T23:00Z,0,True,False,False,False,[],2002-05-28T23:00Z,1,STD,22.0,22.0,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,7,s:40~l:59~t:7,Miami,Sol,MIA,Miami Sol,Sol,,,True,3438.0,,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,True,2029.0,220528007,2002,2,3438.0,AmericanAirlines Arena,Miami,FL,19600.0,True,005084,47a757,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,,
220529004,s:40~l:59~e:220529004~c:220529004,2002-05-30T00:30Z,0,True,False,False,False,[],2002-05-30T00:30Z,1,STD,2.0,2.0,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,4,s:40~l:59~t:4,Houston,Comets,HOU,Houston Comets,Comets,,,True,,https://a.espncdn.com/i/teamlogos/wnba/500/hou.png,11,s:40~l:59~t:11,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury,True,1949.0,220529004,2002,2,,,,,,,3a267d,e56020,https://a.espncdn.com/i/teamlogos/wnba/500/pho.png,,
220529012,s:40~l:59~e:220529012~c:220529012,2002-05-30T02:00Z,0,True,False,False,False,[],2002-05-30T02:00Z,1,STD,11.0,11.0,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,12,s:40~l:59~t:12,Portland,Fire,POR,Portland Fire,Fire,,,True,3423.0,,9,s:40~l:59~t:9,New York,Liberty,NYL,New York Liberty,Liberty,True,1826.0,220529012,2002,2,3423.0,Rose Garden,Portland,OR,19980.0,False,0d79b9,89c9bf,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,,
220530007,s:40~l:59~e:220530007~c:220530007,2002-05-30T23:00Z,0,True,False,False,False,[],2002-05-30T23:00Z,1,STD,2.0,2.0,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,7,s:40~l:59~t:7,Miami,Sol,MIA,Miami Sol,Sol,,,True,3438.0,,6,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,True,1841.0,220530007,2002,2,3438.0,AmericanAirlines Arena,Miami,FL,19600.0,True,532481,49ac9c,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,,
220530010,s:40~l:59~e:220530010~c:220530010,2002-05-30T23:30Z,0,True,False,False,False,[],2002-05-30T23:30Z,1,STD,12.0,12.0,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,10,s:40~l:59~t:10,Orlando,Miracle,ORL,Orlando Miracle,Miracle,,,True,,,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,False,1911.0,220530010,2002,2,,,,,,,11213e,c5d646,,,
220530015,s:40~l:59~e:220530015~c:220530015,2002-05-31T01:00Z,0,True,False,False,False,[],2002-05-31T01:00Z,1,STD,0.0,0.0,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,15,s:40~l:59~t:15,Utah,Starzz,UTH,Utah Starzz,Starzz,,,True,,,12,s:40~l:59~t:12,Portland,Fire,POR,Portland Fire,Fire,True,3423.0,220530015,2002,2,,,,,,,,,,,
220530014,s:40~l:59~e:220530014~c:220530014,2002-05-31T02:00Z,0,True,False,False,False,[],2002-05-31T02:00Z,1,STD,1.0,1.0,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,05452a,f7c43c,True,2184.0,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,9,s:40~l:59~t:9,New York,Liberty,NYL,New York Liberty,Liberty,True,1826.0,220530014,2002,2,2184.0,KeyArena,Seattle,WA,17459.0,True,0d79b9,89c9bf,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,,
