lineup,lineup_id,season
"Brittney Sykes, Elizabeth Williams, Jessica Breland, Renee Montgomery, Tiffany Hayes",1,2019
"Arike Ogunbowale, Glory Johnson, Isabelle Harrison, Kaela Davis, Tayler Hill",2,2019
"Brittney Sykes, Elizabeth Williams, Jessica Breland, Nia Coffey, Renee Montgomery",3,2019
"Allisha Gray, Arike Ogunbowale, Glory Johnson, Isabelle Harrison, Kaela Davis",4,2019
"Brittney Sykes, Elizabeth Williams, Monique Billings, Nia Coffey, Renee Montgomery",5,2019
"Allisha Gray, Arike Ogunbowale, Glory Johnson, Isabelle Harrison, Kayla Thornton",6,2019
"Alex Bentley, Brittney Sykes, Elizabeth Williams, Monique Billings, Nia Coffey",7,2019
"Allisha Gray, Arike Ogunbowale, Brooke McCarty-Williams, Glory Johnson, Kayla Thornton",8,2019
"Alex Bentley, Elizabeth Williams, Monique Billings, Nia Coffey, Tiffany Hayes",9,2019
"Allisha Gray, Brooke McCarty-Williams, Glory Johnson, Kayla Thornton, Theresa Plaisance",10,2019
"Alex Bentley, Marie Gülich, Monique Billings, Nia Coffey, Tiffany Hayes",11,2019
"Allisha Gray, Brooke McCarty-Williams, Isabelle Harrison, Kayla Thornton, Theresa Plaisance",12,2019
"Allisha Gray, Brooke McCarty-Williams, Imani McGee-Stafford, Isabelle Harrison, Kayla Thornton",13,2019
"Alex Bentley, Jessica Breland, Marie Gülich, Nia Coffey, Tiffany Hayes",14,2019
"Alex Bentley, Brittney Sykes, Jessica Breland, Marie Gülich, Tiffany Hayes",15,2019
"Allisha Gray, Brooke McCarty-Williams, Glory Johnson, Imani McGee-Stafford, Kayla Thornton",16,2019
"Alex Bentley, Brittney Sykes, Elizabeth Williams, Jessica Breland, Tiffany Hayes",17,2019
"Allisha Gray, Glory Johnson, Imani McGee-Stafford, Kayla Thornton, Tayler Hill",18,2019
"Arike Ogunbowale, Glory Johnson, Imani McGee-Stafford, Kayla Thornton, Tayler Hill",19,2019
"Brooke McCarty-Williams, Glory Johnson, Imani McGee-Stafford, Kayla Thornton, Tayler Hill",20,2019
"Alex Bentley, Elizabeth Williams, Jessica Breland, Nia Coffey, Renee Montgomery",21,2019
"Brooke McCarty-Williams, Glory Johnson, Imani McGee-Stafford, Tayler Hill, Theresa Plaisance",22,2019
"Brooke McCarty-Williams, Glory Johnson, Kaela Davis, Tayler Hill, Theresa Plaisance",23,2019
"Brooke McCarty-Williams, Glory Johnson, Isabelle Harrison, Kaela Davis, Tayler Hill",24,2019
"Allisha Gray, Brooke McCarty-Williams, Glory Johnson, Isabelle Harrison, Kaela Davis",25,2019
"Allisha Gray, Brooke McCarty-Williams, Glory Johnson, Isabelle Harrison, Kayla Thornton",26,2019
"Alex Bentley, Brittney Sykes, Elizabeth Williams, Nia Coffey, Tiffany Hayes",27,2019
"Alex Bentley, Brittney Sykes, Monique Billings, Nia Coffey, Tiffany Hayes",28,2019
"Brooke McCarty-Williams, Glory Johnson, Kaela Davis, Kayla Thornton, Tayler Hill",29,2019
"Allisha Gray, Brooke McCarty-Williams, Glory Johnson, Kayla Thornton, Tayler Hill",30,2019
"Allisha Gray, Arike Ogunbowale, Brooke McCarty-Williams, Imani McGee-Stafford, Kayla Thornton",31,2019
"Alex Bentley, Marie Gülich, Monique Billings, Nia Coffey, Renee Montgomery",32,2019
"Alex Bentley, Jessica Breland, Monique Billings, Nia Coffey, Renee Montgomery",33,2019
"Alex Bentley, Elizabeth Williams, Jessica Breland, Renee Montgomery, Tiffany Hayes",34,2019
"Alex Bentley, Jessica Breland, Nia Coffey, Renee Montgomery, Tiffany Hayes",35,2019
"Allisha Gray, Arike Ogunbowale, Imani McGee-Stafford, Kayla Thornton, Tayler Hill",36,2019
"Alex Bentley, Elizabeth Williams, Jessica Breland, Nia Coffey, Tiffany Hayes",37,2019
"Arike Ogunbowale, Glory Johnson, Isabelle Harrison, Kayla Thornton, Tayler Hill",38,2019
"Brooke McCarty-Williams, Glory Johnson, Isabelle Harrison, Kayla Thornton, Tayler Hill",39,2019
"Allisha Gray, Brooke McCarty-Williams, Isabelle Harrison, Kayla Thornton, Tayler Hill",40,2019
"Allisha Gray, Arike Ogunbowale, Brooke McCarty-Williams, Isabelle Harrison, Kayla Thornton",41,2019
"Allisha Gray, Arike Ogunbowale, Brooke McCarty-Williams, Glory Johnson, Isabelle Harrison",42,2019
"Allisha Gray, Arike Ogunbowale, Brooke McCarty-Williams, Imani McGee-Stafford, Isabelle Harrison",43,2019
"Allisha Gray, Brooke McCarty-Williams, Imani McGee-Stafford, Kayla Thornton, Tayler Hill",44,2019
"Allisha Gray, Arike Ogunbowale, Brooke McCarty-Williams, Kayla Thornton, Tayler Hill",45,2019
"Amanda Zahui B, Brittany Boyd-Jones, Kia Nurse, Rebecca Allen, Tina Charles",46,2019
"Betnijah Laney, Candice Dupree, Erica Wheeler, Kelsey Mitchell, Natalie Achonwa",47,2019
"Betnijah Laney, Candice Dupree, Kelsey Mitchell, Natalie Achonwa, Shenise Johnson",48,2019
"Amanda Zahui B, Asia (AD) Durr, Brittany Boyd-Jones, Kia Nurse, Tina Charles",49,2019
"Candice Dupree, Kelsey Mitchell, Natalie Achonwa, Shenise Johnson, Tiffany Mitchell",50,2019
"Amanda Zahui B, Asia (AD) Durr, Kia Nurse, Tanisha Wright, Tina Charles",51,2019
"Candice Dupree, Kelsey Mitchell, Shenise Johnson, Teaira McCowan, Tiffany Mitchell",52,2019
"Asia (AD) Durr, Kia Nurse, Nayo Raincock-Ekunwe, Tanisha Wright, Tina Charles",53,2019
"Candice Dupree, Erica Wheeler, Shenise Johnson, Teaira McCowan, Tiffany Mitchell",54,2019
"Erica Wheeler, Natalie Achonwa, Shenise Johnson, Teaira McCowan, Tiffany Mitchell",55,2019
"Erica Wheeler, Natalie Achonwa, Shenise Johnson, Stephanie Mavunga, Tiffany Mitchell",56,2019
"Kelsey Mitchell, Natalie Achonwa, Shenise Johnson, Stephanie Mavunga, Tiffany Mitchell",57,2019
"Asia (AD) Durr, Bria Hartley, Nayo Raincock-Ekunwe, Tanisha Wright, Tina Charles",58,2019
"Amanda Zahui B, Asia (AD) Durr, Bria Hartley, Nayo Raincock-Ekunwe, Tanisha Wright",59,2019
"Amanda Zahui B, Asia (AD) Durr, Bria Hartley, Reshanda Gray, Tanisha Wright",60,2019
"Amanda Zahui B, Asia (AD) Durr, Bria Hartley, Brittany Boyd-Jones, Reshanda Gray",61,2019
"Betnijah Laney, Kelsey Mitchell, Natalie Achonwa, Stephanie Mavunga, Tiffany Mitchell",62,2019
"Amanda Zahui B, Asia (AD) Durr, Brittany Boyd-Jones, Kia Nurse, Reshanda Gray",63,2019
"Betnijah Laney, Candice Dupree, Kelsey Mitchell, Natalie Achonwa, Tiffany Mitchell",64,2019
"Betnijah Laney, Candice Dupree, Erica Wheeler, Kelsey Mitchell, Tiffany Mitchell",65,2019
"Asia (AD) Durr, Brittany Boyd-Jones, Kia Nurse, Reshanda Gray, Tina Charles",66,2019
